Date,Surface,Bottom
04/12/2019 00:00:00,13.13300,13.13300
04/12/2019 02:00:04,12.88152,13.92632
04/12/2019 04:00:01,12.95357,13.96013
04/12/2019 06:00:02,12.98218,13.80443
04/12/2019 08:00:04,12.69050,13.70278
04/12/2019 10:00:03,12.58043,13.65817
04/12/2019 12:00:00,12.60071,13.92333
04/12/2019 14:00:02,12.96949,15.03775
04/12/2019 16:00:00,13.43161,15.27721
04/12/2019 18:00:03,13.70290,15.33714
04/12/2019 20:00:04,13.68703,15.40236
04/12/2019 22:00:01,13.67756,15.48871
05/12/2019 00:00:04,13.49177,15.57003
05/12/2019 02:00:03,13.14625,15.56259
05/12/2019 04:00:01,13.04176,15.40799
05/12/2019 06:00:02,12.85133,15.26238
05/12/2019 08:00:00,12.70732,15.03139
05/12/2019 10:00:00,12.57955,14.86961
05/12/2019 12:00:03,12.54849,14.81738
05/12/2019 14:00:01,12.38914,14.64335
05/12/2019 16:00:02,12.65125,14.30347
05/12/2019 18:00:03,13.08163,14.87738
05/12/2019 20:00:03,13.17050,15.15879
05/12/2019 22:00:01,12.99948,15.19416
06/12/2019 00:00:03,12.88694,15.21278
06/12/2019 02:00:01,12.64785,14.58250
06/12/2019 04:00:03,12.58388,13.83932
06/12/2019 06:00:03,12.53426,13.50189
06/12/2019 08:00:03,12.52158,13.36105
06/12/2019 10:00:02,12.27176,13.79427
06/12/2019 12:00:00,12.23069,14.81290
06/12/2019 14:00:00,12.34465,15.63803
06/12/2019 16:00:01,13.00909,16.14617
06/12/2019 18:00:00,13.40656,16.46015
06/12/2019 20:00:03,13.45874,16.63242
06/12/2019 22:00:00,13.52115,16.68444
07/12/2019 00:00:04,12.37328,16.63559
07/12/2019 02:00:03,12.10058,16.52798
07/12/2019 04:00:02,12.01991,16.52184
07/12/2019 06:00:00,12.12785,16.60907
07/12/2019 08:00:04,12.25156,16.65931
07/12/2019 10:00:03,13.01464,16.65932
07/12/2019 12:00:01,13.46356,16.67288
07/12/2019 14:00:02,13.73268,16.65664
07/12/2019 16:00:01,14.90019,16.67405
07/12/2019 18:00:01,14.59389,16.68675
07/12/2019 20:00:00,14.30748,16.65473
07/12/2019 22:00:00,14.18926,16.63665
08/12/2019 00:00:04,14.27846,15.70995
08/12/2019 02:00:03,13.46876,14.94730
08/12/2019 04:00:04,12.86092,14.85240
08/12/2019 06:00:01,12.57632,14.76082
08/12/2019 08:00:03,12.57102,14.78028
08/12/2019 10:00:00,12.54136,14.97890
08/12/2019 12:00:02,12.50327,14.96730
08/12/2019 14:00:04,12.73773,14.91919
08/12/2019 16:00:00,13.43091,14.85790
08/12/2019 18:00:04,14.01368,14.93804
08/12/2019 20:00:02,14.26877,14.94914
08/12/2019 22:00:01,14.33657,14.96923
09/12/2019 00:00:01,13.36664,14.59373
09/12/2019 02:00:01,13.14513,14.27005
09/12/2019 04:00:04,12.86096,14.14985
09/12/2019 06:00:04,12.65489,13.94846
09/12/2019 08:00:03,12.54563,13.79875
09/12/2019 10:00:01,12.57415,13.78861
09/12/2019 12:00:03,12.40306,13.95257
09/12/2019 14:00:02,12.60966,14.01761
09/12/2019 16:00:02,13.17650,14.22962
09/12/2019 18:00:02,13.63050,14.30921
09/12/2019 20:00:01,13.88186,14.37706
09/12/2019 22:00:02,13.99724,14.37496
10/12/2019 00:00:02,13.14572,14.35203
10/12/2019 02:00:03,12.87976,14.18124
10/12/2019 04:00:01,12.61057,14.00122
10/12/2019 06:00:00,12.42412,13.77000
10/12/2019 08:00:04,12.26988,13.61867
10/12/2019 10:00:03,12.40216,13.62493
10/12/2019 12:00:03,12.53204,13.78639
10/12/2019 14:00:03,12.28685,13.82764
10/12/2019 16:00:01,12.72398,13.83535
10/12/2019 18:00:03,13.18701,14.01223
10/12/2019 20:00:01,13.42981,14.12496
10/12/2019 22:00:03,13.61885,14.18974
11/12/2019 00:00:04,13.37706,14.18953
11/12/2019 02:00:04,13.12201,13.24803
11/12/2019 04:00:02,12.96207,13.02236
11/12/2019 06:00:00,12.62734,12.72902
11/12/2019 08:00:02,12.40491,12.51461
11/12/2019 10:00:01,12.38818,12.43690
11/12/2019 12:00:04,12.66439,12.78223
11/12/2019 14:00:01,12.80789,12.97441
11/12/2019 16:00:04,12.86616,13.02278
11/12/2019 18:00:00,13.08152,13.23527
11/12/2019 20:00:04,13.36132,13.48014
11/12/2019 22:00:04,13.65901,13.80546
12/12/2019 00:00:01,13.71704,13.78528
12/12/2019 02:00:01,13.29938,13.37600
12/12/2019 04:00:01,12.97255,13.03955
12/12/2019 06:00:04,12.70739,12.77499
12/12/2019 08:00:00,12.47204,12.64027
12/12/2019 10:00:03,12.41085,12.46780
12/12/2019 12:00:01,12.63137,12.63858
12/12/2019 14:00:02,12.78079,12.90924
12/12/2019 16:00:03,12.88062,13.04369
12/12/2019 18:00:00,13.02482,13.25767
12/12/2019 20:00:04,13.35708,13.72412
12/12/2019 22:00:03,13.59474,14.14205
13/12/2019 00:00:01,13.71704,14.41107
13/12/2019 02:00:04,13.36446,14.37288
13/12/2019 04:00:03,13.28755,13.77091
13/12/2019 06:00:02,12.96421,13.63285
13/12/2019 08:00:01,12.69164,13.38198
13/12/2019 10:00:02,12.66219,13.26704
13/12/2019 12:00:02,12.82646,13.41693
13/12/2019 14:00:02,13.08398,14.23147
13/12/2019 16:00:02,13.35042,14.54443
13/12/2019 18:00:02,13.73772,14.71877
13/12/2019 20:00:01,13.91735,14.92755
13/12/2019 22:00:01,14.09359,15.04106
14/12/2019 00:00:04,14.18154,15.15456
14/12/2019 02:00:01,13.91714,15.17109
14/12/2019 04:00:00,13.61557,15.03839
14/12/2019 06:00:04,13.25071,14.78846
14/12/2019 08:00:00,12.91165,14.46424
14/12/2019 10:00:02,12.83751,14.31837
14/12/2019 12:00:04,12.92854,14.34661
14/12/2019 14:00:02,13.46195,14.72192
14/12/2019 16:00:00,13.69407,14.85691
14/12/2019 18:00:03,13.80643,14.92765
14/12/2019 20:00:00,13.96410,14.95698
14/12/2019 22:00:03,14.19718,14.97162
15/12/2019 00:00:01,14.43557,15.01086
15/12/2019 02:00:02,14.07603,15.03082
15/12/2019 04:00:01,13.84778,14.94449
15/12/2019 06:00:02,13.48568,14.76437
15/12/2019 08:00:02,13.17138,14.52732
15/12/2019 10:00:03,12.94753,14.39023
15/12/2019 12:00:01,12.86432,14.34712
15/12/2019 14:00:01,13.30342,14.47376
15/12/2019 16:00:00,13.72377,14.68938
15/12/2019 18:00:01,13.89859,14.78946
15/12/2019 20:00:02,14.13646,14.87854
15/12/2019 22:00:00,14.32306,14.90674
16/12/2019 00:00:01,14.50106,14.91217
16/12/2019 02:00:00,14.47023,14.92242
16/12/2019 04:00:02,13.85376,14.87174
16/12/2019 06:00:00,13.66012,14.70251
16/12/2019 08:00:04,13.36213,14.48693
16/12/2019 10:00:03,13.04769,14.37544
16/12/2019 12:00:00,12.93653,14.29888
16/12/2019 14:00:02,13.39846,14.30038
16/12/2019 16:00:00,13.79199,14.44738
16/12/2019 18:00:02,14.01484,14.60814
16/12/2019 20:00:02,14.17704,14.73046
16/12/2019 22:00:02,14.31088,14.77584
17/12/2019 00:00:01,14.41120,14.81674
17/12/2019 02:00:03,14.43629,14.86290
17/12/2019 04:00:03,13.72764,14.84410
17/12/2019 06:00:04,13.69399,14.72678
17/12/2019 08:00:01,13.44819,14.56679
17/12/2019 10:00:04,13.16891,14.43110
17/12/2019 12:00:01,13.25302,14.30940
17/12/2019 14:00:00,13.71353,14.32105
17/12/2019 16:00:00,14.06880,14.32953
17/12/2019 18:00:00,14.12208,14.18401
17/12/2019 20:00:00,14.13134,14.45716
17/12/2019 22:00:03,14.17545,14.68613
18/12/2019 00:00:00,14.22659,14.76423
18/12/2019 02:00:04,14.23259,14.78715
18/12/2019 04:00:02,13.91856,14.77967
18/12/2019 06:00:01,13.79992,14.72452
18/12/2019 08:00:04,13.62950,14.48684
18/12/2019 10:00:03,13.42664,14.27361
18/12/2019 12:00:00,13.47810,14.16082
18/12/2019 14:00:01,13.63174,14.12422
18/12/2019 16:00:02,13.91614,14.23108
18/12/2019 18:00:02,14.05108,14.41248
18/12/2019 20:00:04,14.14085,14.56010
18/12/2019 22:00:02,14.20288,14.63603
19/12/2019 00:00:01,14.22843,14.66369
19/12/2019 02:00:01,14.31673,14.67583
19/12/2019 04:00:04,14.39920,14.68655
19/12/2019 06:00:02,14.08562,14.32418
19/12/2019 08:00:03,13.81110,14.19457
19/12/2019 10:00:03,13.76904,13.93702
19/12/2019 12:00:04,13.82616,13.81211
19/12/2019 14:00:01,13.92810,13.91222
19/12/2019 16:00:04,14.01732,14.00521
19/12/2019 18:00:00,14.23082,14.22173
19/12/2019 20:00:04,14.36217,14.36135
19/12/2019 22:00:02,14.33160,14.33084
20/12/2019 00:00:01,14.14434,14.17552
20/12/2019 02:00:02,13.75139,14.07495
20/12/2019 04:00:01,13.61036,14.00299
20/12/2019 06:00:01,13.46953,13.97520
20/12/2019 08:00:02,13.31726,13.94762
20/12/2019 10:00:03,13.35935,13.81919
20/12/2019 12:00:01,13.47619,13.71099
20/12/2019 14:00:01,13.51938,13.59370
20/12/2019 16:00:00,13.71053,13.72901
20/12/2019 18:00:00,13.96997,14.02053
20/12/2019 20:00:01,14.06201,14.19245
20/12/2019 22:00:04,14.07615,14.30975
21/12/2019 00:00:00,13.58741,14.04192
21/12/2019 02:00:00,13.44394,13.98835
21/12/2019 04:00:01,13.44412,13.89809
21/12/2019 06:00:03,13.43269,13.43739
