Date,Surface,Bottom
04/12/2019 00:00:00,213.52010,213.52010
04/12/2019 02:00:04,211.10268,213.00204
04/12/2019 04:00:01,209.58586,213.00562
04/12/2019 06:00:02,204.79892,210.32410
04/12/2019 08:00:04,191.40572,207.80957
04/12/2019 10:00:03,193.83653,207.89369
04/12/2019 12:00:00,198.49687,209.03278
04/12/2019 14:00:02,206.88016,204.25641
04/12/2019 16:00:00,211.95268,196.54594
04/12/2019 18:00:03,214.61086,189.96658
04/12/2019 20:00:04,215.26109,190.76381
04/12/2019 22:00:01,213.44159,189.04726
05/12/2019 00:00:04,211.40797,184.44466
05/12/2019 02:00:03,210.23016,176.57581
05/12/2019 04:00:01,208.84932,196.73070
05/12/2019 06:00:02,207.72098,198.75044
05/12/2019 08:00:00,207.96245,199.41808
05/12/2019 10:00:00,208.48323,199.06090
05/12/2019 12:00:03,209.59729,197.54195
05/12/2019 14:00:01,209.56665,194.76729
05/12/2019 16:00:02,211.53690,185.82896
05/12/2019 18:00:03,215.93857,188.08154
05/12/2019 20:00:03,216.07753,181.44734
05/12/2019 22:00:01,214.89394,181.97714
06/12/2019 00:00:03,213.14313,176.85985
06/12/2019 02:00:01,210.65598,169.08551
06/12/2019 04:00:03,208.71658,167.31142
06/12/2019 06:00:03,207.49582,164.06664
06/12/2019 08:00:03,207.61363,162.82298
06/12/2019 10:00:02,209.22134,156.22182
06/12/2019 12:00:00,210.67168,157.32376
06/12/2019 14:00:00,212.21695,162.68256
06/12/2019 16:00:01,214.25842,175.45216
06/12/2019 18:00:00,215.22237,174.00720
06/12/2019 20:00:03,215.21098,160.66109
06/12/2019 22:00:00,213.76239,159.25186
07/12/2019 00:00:04,212.58430,165.53879
07/12/2019 02:00:03,211.49953,163.89493
07/12/2019 04:00:02,210.17464,155.48007
07/12/2019 06:00:00,209.52260,143.38545
07/12/2019 08:00:04,211.30605,148.64421
07/12/2019 10:00:03,212.61847,158.50789
07/12/2019 12:00:01,212.44238,159.53932
07/12/2019 14:00:02,212.24165,149.15230
07/12/2019 16:00:01,212.16145,147.06392
07/12/2019 18:00:01,212.15933,148.09422
07/12/2019 20:00:00,211.48337,140.27174
07/12/2019 22:00:00,210.60165,146.46718
08/12/2019 00:00:04,209.09480,150.33562
08/12/2019 02:00:03,208.53862,142.39766
08/12/2019 04:00:04,207.13638,133.23256
08/12/2019 06:00:01,205.45993,126.87853
08/12/2019 08:00:03,205.31395,124.71117
08/12/2019 10:00:00,205.77884,127.79655
08/12/2019 12:00:02,204.71960,134.33429
08/12/2019 14:00:04,208.75327,133.59805
08/12/2019 16:00:00,209.20262,139.75883
08/12/2019 18:00:04,208.45033,132.83585
08/12/2019 20:00:02,208.65828,121.04250
08/12/2019 22:00:01,208.40399,113.74976
09/12/2019 00:00:01,208.06192,113.25264
09/12/2019 02:00:01,206.99196,114.57502
