Date,Surface,Bottom
07/05/2013 00:00:00,0.11240,0.11240
07/05/2013 04:00:03,0.08558,0.11201
07/05/2013 08:00:01,0.07869,0.10003
07/05/2013 12:00:05,0.08337,0.10487
07/05/2013 16:00:02,0.08690,0.11001
07/05/2013 20:00:03,0.09335,0.11456
08/05/2013 00:00:04,0.10569,0.11869
08/05/2013 04:00:05,0.11050,0.11903
08/05/2013 08:00:02,0.10673,0.11762
08/05/2013 12:00:02,0.10192,0.11574
08/05/2013 16:00:05,0.09780,0.11316
08/05/2013 20:00:04,0.09214,0.11198
09/05/2013 00:00:01,0.08801,0.11043
09/05/2013 04:00:07,0.08558,0.10779
09/05/2013 08:00:05,0.08526,0.10325
09/05/2013 12:00:06,0.08525,0.10088
09/05/2013 16:00:05,0.08514,0.10008
09/05/2013 20:00:06,0.09051,0.09635
10/05/2013 00:00:00,0.21942,0.09642
10/05/2013 04:00:03,0.33999,0.10823
10/05/2013 08:00:04,0.40095,0.11319
10/05/2013 12:00:02,0.42470,0.11467
10/05/2013 16:00:06,0.44585,0.11468
10/05/2013 20:00:05,0.26263,0.11182
11/05/2013 00:00:07,0.20334,0.11011
11/05/2013 04:00:03,0.22710,0.11263
11/05/2013 08:00:06,0.31766,0.11165
11/05/2013 12:00:04,0.42688,0.10958
11/05/2013 16:00:01,0.41694,0.10684
11/05/2013 20:00:06,0.21132,0.29692
12/05/2013 00:00:01,0.15170,0.15154
12/05/2013 04:00:06,0.18129,0.18017
12/05/2013 08:00:05,0.20370,0.19561
12/05/2013 12:00:07,0.24293,0.13872
12/05/2013 16:00:02,0.24577,0.24629
12/05/2013 20:00:02,0.25372,0.25324
13/05/2013 00:00:05,0.22324,0.21855
13/05/2013 04:00:00,0.24662,0.19397
13/05/2013 08:00:05,0.22280,0.13402
13/05/2013 12:00:06,0.20521,0.11256
13/05/2013 16:00:00,0.31486,0.24919
13/05/2013 20:00:02,0.24197,0.24749
14/05/2013 00:00:06,0.17436,0.17415
14/05/2013 04:00:05,0.17200,0.17078
14/05/2013 08:00:02,0.17306,0.17145
14/05/2013 12:00:06,0.15625,0.15505
14/05/2013 16:00:01,0.16373,0.16253
14/05/2013 20:00:01,0.23273,0.13034
15/05/2013 00:00:02,0.18677,0.09534
15/05/2013 04:00:07,0.12207,0.09887
15/05/2013 08:00:06,0.09613,0.09859
15/05/2013 12:00:02,0.09471,0.09310
15/05/2013 16:00:02,0.09962,0.09965
15/05/2013 20:00:03,0.12884,0.12493
16/05/2013 00:00:03,0.33164,0.33054
16/05/2013 04:00:06,0.30534,0.29883
16/05/2013 08:00:00,0.28290,0.15925
16/05/2013 12:00:05,0.20516,0.11135
16/05/2013 16:00:03,0.15406,0.16174
16/05/2013 20:00:03,0.32503,0.32146
17/05/2013 00:00:00,0.32891,0.32467
17/05/2013 04:00:05,0.27676,0.13935
17/05/2013 08:00:04,0.16583,0.10146
17/05/2013 12:00:00,0.10811,0.09238
17/05/2013 16:00:05,0.15993,0.09003
17/05/2013 20:00:00,0.17154,0.09069
18/05/2013 00:00:04,0.15086,0.10621
18/05/2013 04:00:05,0.13609,0.12483
18/05/2013 08:00:01,0.12528,0.12688
18/05/2013 12:00:01,0.11425,0.12593
18/05/2013 16:00:04,0.10396,0.10930
18/05/2013 20:00:00,0.09680,0.10307
19/05/2013 00:00:03,0.09212,0.09747
19/05/2013 04:00:04,0.08732,0.09549
19/05/2013 08:00:00,0.08866,0.09385
19/05/2013 12:00:04,0.08781,0.08943
19/05/2013 16:00:00,0.08583,0.08518
19/05/2013 20:00:04,0.08074,0.08275
20/05/2013 00:00:05,0.07867,0.08047
20/05/2013 04:00:03,0.08299,0.08141
20/05/2013 08:00:05,0.08218,0.07835
20/05/2013 12:00:02,0.08165,0.07690
20/05/2013 16:00:02,0.07917,0.08222
20/05/2013 20:00:03,0.07658,0.08010
21/05/2013 00:00:05,0.07653,0.07898
21/05/2013 04:00:01,0.07771,0.07634
21/05/2013 08:00:02,0.07602,0.07505
21/05/2013 12:00:03,0.07959,0.07958
21/05/2013 16:00:05,0.07958,0.07695
21/05/2013 20:00:05,0.08992,0.07989
22/05/2013 00:00:03,0.18117,0.08266
22/05/2013 04:00:04,0.41925,0.08450
22/05/2013 08:00:01,0.47678,0.09197
22/05/2013 12:00:01,0.37289,0.09059
22/05/2013 16:00:00,0.21052,0.25777
22/05/2013 20:00:03,0.19618,0.13112
23/05/2013 00:00:04,0.23120,0.09913
23/05/2013 04:00:00,0.17877,0.24673
23/05/2013 08:00:02,0.14132,0.14741
23/05/2013 12:00:04,0.16287,0.15951
23/05/2013 16:00:04,0.30503,0.18389
23/05/2013 20:00:03,0.41967,0.13847
24/05/2013 00:00:05,0.34373,0.11978
24/05/2013 04:00:06,0.19756,0.09519
24/05/2013 08:00:04,0.15292,0.13926
24/05/2013 12:00:00,0.14568,0.14334
24/05/2013 16:00:00,0.16765,0.16346
24/05/2013 20:00:07,0.23592,0.20928
25/05/2013 00:00:00,0.26491,0.11958
25/05/2013 04:00:03,0.41131,0.12371
25/05/2013 08:00:05,0.24784,0.12113
25/05/2013 12:00:06,0.13877,0.13749
25/05/2013 16:00:01,0.20981,0.20414
25/05/2013 20:00:04,0.27740,0.20096
26/05/2013 00:00:04,0.30081,0.29897
26/05/2013 04:00:03,0.42433,0.28554
26/05/2013 08:00:02,0.22733,0.19519
26/05/2013 12:00:05,0.15989,0.15733
26/05/2013 16:00:02,0.20520,0.19286
26/05/2013 20:00:07,0.38688,0.30856
27/05/2013 00:00:04,0.34198,0.33875
27/05/2013 04:00:07,0.46577,0.34926
27/05/2013 08:00:03,0.46125,0.24720
27/05/2013 12:00:03,0.43496,0.16945
27/05/2013 16:00:06,0.42403,0.13190
27/05/2013 20:00:04,0.56753,0.11472
28/05/2013 00:00:06,0.55129,0.10749
28/05/2013 04:00:01,0.55695,0.10191
28/05/2013 08:00:06,0.52626,0.09714
28/05/2013 12:00:06,0.22679,0.17532
28/05/2013 16:00:03,0.16054,0.29069
28/05/2013 20:00:02,0.18329,0.24022
29/05/2013 00:00:05,0.18375,0.18351
29/05/2013 04:00:04,0.17083,0.17509
29/05/2013 08:00:01,0.12727,0.13153
29/05/2013 12:00:04,0.12141,0.12070
29/05/2013 16:00:06,0.32100,0.18261
29/05/2013 20:00:04,0.56967,0.41801
30/05/2013 00:00:03,0.50603,0.36965
30/05/2013 04:00:02,0.43031,0.42678
30/05/2013 08:00:05,0.50444,0.24698
30/05/2013 12:00:03,0.32346,0.15501
30/05/2013 16:00:03,0.44668,0.13805
30/05/2013 20:00:01,0.43954,0.30900
31/05/2013 00:00:05,0.55818,0.20591
31/05/2013 04:00:01,0.47504,0.14510
31/05/2013 08:00:01,0.45047,0.14639
31/05/2013 12:00:06,0.16091,0.28180
31/05/2013 16:00:01,0.34928,0.26687
31/05/2013 20:00:04,0.53050,0.26027
01/06/2013 00:00:06,0.53123,0.21219
01/06/2013 04:00:05,0.48963,0.56544
01/06/2013 08:00:04,0.58990,0.53298
01/06/2013 12:00:05,0.58775,0.24730
01/06/2013 16:00:03,0.59556,0.25271
01/06/2013 20:00:06,0.56862,0.34465
02/06/2013 00:00:06,0.57830,0.46168
02/06/2013 04:00:02,0.57018,0.28662
02/06/2013 08:00:06,0.55151,0.24322
02/06/2013 12:00:00,0.46355,0.31435
02/06/2013 16:00:04,0.34791,0.34553
02/06/2013 20:00:06,0.33915,0.44268
03/06/2013 00:00:07,0.43954,0.41896
03/06/2013 04:00:06,0.34760,0.24368
03/06/2013 08:00:05,0.21263,0.13787
03/06/2013 12:00:04,0.13226,0.09966
03/06/2013 16:00:04,0.20044,0.09898
03/06/2013 20:00:04,0.35865,0.33243
04/06/2013 00:00:04,0.41594,0.39784
04/06/2013 04:00:04,0.39830,0.27543
04/06/2013 08:00:04,0.37714,0.19097
04/06/2013 12:00:04,0.22779,0.11216
04/06/2013 16:00:05,0.16504,0.09253
04/06/2013 20:00:05,0.24717,0.08445
05/06/2013 00:00:02,0.54650,0.24846
05/06/2013 04:00:04,0.42028,0.14050
05/06/2013 08:00:05,0.38171,0.10933
05/06/2013 12:00:07,0.35061,0.09784
05/06/2013 16:00:05,0.29862,0.10474
05/06/2013 20:00:01,0.22872,0.18575
06/06/2013 00:00:03,0.15840,0.17965
06/06/2013 04:00:03,0.13285,0.15208
06/06/2013 08:00:03,0.11719,0.12470
06/06/2013 12:00:01,0.09959,0.10271
06/06/2013 16:00:06,0.09460,0.09698
06/06/2013 20:00:05,0.08965,0.09117
07/06/2013 00:00:02,0.08550,0.08741
07/06/2013 04:00:03,0.08272,0.08483
07/06/2013 08:00:01,0.08441,0.08464
07/06/2013 12:00:01,0.08677,0.08612
07/06/2013 16:00:04,0.12610,0.12020
07/06/2013 20:00:03,0.14393,0.13207
08/06/2013 00:00:01,0.13548,0.12035
08/06/2013 04:00:01,0.12662,0.11897
08/06/2013 08:00:06,0.12240,0.11861
08/06/2013 12:00:04,0.15301,0.12650
08/06/2013 16:00:06,0.24298,0.11968
08/06/2013 20:00:05,0.44443,0.13661
09/06/2013 00:00:01,0.41587,0.40957
09/06/2013 04:00:02,0.43295,0.42928
09/06/2013 08:00:02,0.43915,0.34911
09/06/2013 12:00:05,0.43999,0.21099
09/06/2013 16:00:04,0.44011,0.16736
09/06/2013 20:00:02,0.43749,0.14279
10/06/2013 00:00:04,0.35508,0.12183
10/06/2013 04:00:04,0.21708,0.10845
10/06/2013 08:00:03,0.21277,0.10305
10/06/2013 12:00:06,0.17398,0.10978
10/06/2013 16:00:04,0.15150,0.14302
10/06/2013 20:00:02,0.12002,0.13336
11/06/2013 00:00:00,0.08891,0.10125
11/06/2013 04:00:03,0.08556,0.08383
11/06/2013 08:00:02,0.09740,0.09629
11/06/2013 12:00:00,0.32539,0.30937
11/06/2013 16:00:03,0.47318,0.47394
11/06/2013 20:00:05,0.44176,0.44665
12/06/2013 00:00:06,0.36299,0.36437
12/06/2013 04:00:01,0.33872,0.33374
12/06/2013 08:00:00,0.30256,0.16134
12/06/2013 12:00:00,0.16874,0.10469
12/06/2013 16:00:03,0.15135,0.08929
12/06/2013 20:00:02,0.19790,0.08257
13/06/2013 00:00:04,0.19037,0.07815
13/06/2013 04:00:03,0.16357,0.07733
13/06/2013 08:00:01,0.15214,0.08565
13/06/2013 12:00:01,0.14294,0.07952
13/06/2013 16:00:03,0.10068,0.08832
13/06/2013 20:00:03,0.08444,0.07992
14/06/2013 00:00:02,0.07999,0.07319
14/06/2013 04:00:04,0.08093,0.06735
14/06/2013 08:00:04,0.08164,0.07329
14/06/2013 12:00:02,0.08056,0.07475
14/06/2013 16:00:03,0.08260,0.07396
14/06/2013 20:00:06,0.09035,0.07629
15/06/2013 00:00:04,0.48307,0.26348
15/06/2013 04:00:04,0.39498,0.10638
15/06/2013 08:00:01,0.35194,0.09054
15/06/2013 12:00:02,0.32773,0.08816
15/06/2013 16:00:04,0.39780,0.08103
15/06/2013 20:00:06,0.42440,0.37166
16/06/2013 00:00:01,0.40271,0.11578
16/06/2013 04:00:03,0.38024,0.10515
16/06/2013 08:00:06,0.34190,0.12030
16/06/2013 12:00:02,0.31519,0.13492
16/06/2013 16:00:01,0.26401,0.29436
16/06/2013 20:00:06,0.37433,0.37671
17/06/2013 00:00:05,0.29352,0.28872
17/06/2013 04:00:06,0.28242,0.24193
17/06/2013 08:00:04,0.28941,0.13785
17/06/2013 12:00:03,0.32022,0.09646
17/06/2013 16:00:00,0.33537,0.13477
17/06/2013 20:00:00,0.37021,0.12752
18/06/2013 00:00:00,0.38206,0.10547
18/06/2013 04:00:06,0.25649,0.07929
18/06/2013 08:00:02,0.19136,0.06626
18/06/2013 12:00:00,0.08594,0.06011
18/06/2013 16:00:02,0.11815,0.06189
18/06/2013 20:00:06,0.12218,0.08175
19/06/2013 00:00:03,0.09215,0.09962
19/06/2013 04:00:01,0.07593,0.09260
19/06/2013 08:00:03,0.06312,0.08798
19/06/2013 12:00:05,0.05427,0.07457
19/06/2013 16:00:01,0.06062,0.06891
19/06/2013 20:00:04,0.05489,0.06170
20/06/2013 00:00:02,0.05349,0.05249
20/06/2013 04:00:00,0.04800,0.05177
20/06/2013 08:00:03,0.05056,0.05106
20/06/2013 12:00:02,0.05017,0.04881
20/06/2013 16:00:02,0.04566,0.04644
20/06/2013 20:00:03,0.04747,0.04283
21/06/2013 00:00:00,0.04404,0.04433
21/06/2013 04:00:03,0.04172,0.04635
21/06/2013 08:00:04,0.04602,0.04696
21/06/2013 12:00:04,0.05106,0.04198
21/06/2013 16:00:04,0.05213,0.03771
21/06/2013 20:00:04,0.04616,0.04062
22/06/2013 00:00:07,0.05710,0.03897
22/06/2013 04:00:01,0.05130,0.03535
22/06/2013 08:00:05,0.05096,0.03935
22/06/2013 12:00:02,0.05429,0.04185
22/06/2013 16:00:02,0.06399,0.05068
22/06/2013 20:00:00,0.18070,0.05120
23/06/2013 00:00:02,0.40194,0.04979
23/06/2013 04:00:01,0.48125,0.05175
23/06/2013 08:00:00,0.39935,0.04688
23/06/2013 12:00:02,0.24056,0.26776
23/06/2013 16:00:07,0.36119,0.09702
23/06/2013 20:00:04,0.41706,0.07429
24/06/2013 00:00:07,0.17437,0.06715
24/06/2013 04:00:04,0.14798,0.15206
24/06/2013 08:00:07,0.15164,0.10790
24/06/2013 12:00:06,0.13782,0.13340
24/06/2013 16:00:05,0.24067,0.23807
24/06/2013 20:00:05,0.21935,0.21875
25/06/2013 00:00:02,0.15181,0.13958
25/06/2013 04:00:04,0.13236,0.07565
25/06/2013 08:00:06,0.12314,0.06053
25/06/2013 12:00:04,0.08945,0.06458
25/06/2013 16:00:03,0.14032,0.14018
25/06/2013 20:00:01,0.17257,0.17366
26/06/2013 00:00:06,0.11876,0.11848
26/06/2013 04:00:03,0.10344,0.10152
26/06/2013 08:00:01,0.10921,0.08801
26/06/2013 12:00:00,0.10038,0.10036
26/06/2013 16:00:00,0.12198,0.07716
26/06/2013 20:00:01,0.12407,0.12392
27/06/2013 00:00:00,0.12484,0.11497
27/06/2013 04:00:01,0.14448,0.07575
27/06/2013 08:00:04,0.13413,0.05672
27/06/2013 12:00:00,0.08429,0.04948
27/06/2013 16:00:01,0.05983,0.04430
27/06/2013 20:00:00,0.04828,0.04642
28/06/2013 00:00:05,0.04518,0.04474
28/06/2013 04:00:05,0.04926,0.03931
28/06/2013 08:00:03,0.04879,0.03753
28/06/2013 12:00:04,0.05037,0.03245
28/06/2013 16:00:04,0.05242,0.03127
28/06/2013 20:00:00,0.05281,0.03720
29/06/2013 00:00:02,0.05213,0.04151
29/06/2013 04:00:02,0.05000,0.04064
29/06/2013 08:00:04,0.02407,0.04224
29/06/2013 12:00:02,0.02292,0.03894
29/06/2013 16:00:02,0.02781,0.03923
29/06/2013 20:00:05,0.04320,0.02921
30/06/2013 00:00:07,0.06212,0.03791
