Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top),Age (Bottom),Age (top),NH4 (Bottom),NH4 (top)
13/06/2016 00:00:05,19,2.3893,2.2950,2.3491,12.8880,12.8809,37.0021,37.0026,7.8487,7.8554,60.4498,60.4267,0.0042,0.0042
13/06/2016 02:00:00,19,2.3857,2.2910,2.3447,12.8641,12.8577,37.0056,37.0059,7.8445,7.8488,60.6229,60.6498,0.0042,0.0042
13/06/2016 04:00:00,19,2.3912,2.2966,2.3504,12.8495,12.8453,37.0097,37.0099,7.8345,7.8384,60.3268,60.3363,0.0042,0.0042
13/06/2016 06:00:06,19,2.3995,2.3048,2.3586,12.7770,12.7596,37.0129,37.0129,7.8227,7.8237,60.0390,60.0435,0.0041,0.0041
13/06/2016 08:00:04,19,2.4105,2.3160,2.3699,12.6944,12.6884,37.0169,37.0172,7.8057,7.8073,59.4658,59.4591,0.0041,0.0041
13/06/2016 10:00:04,19,2.4216,2.3269,2.3808,12.7025,13.0991,37.0197,37.0230,7.7672,7.8134,59.1613,59.0687,0.0041,0.0041
13/06/2016 12:00:00,19,2.4233,2.3288,2.3827,12.7221,14.1245,37.0237,37.0260,7.7351,7.8205,58.8657,58.5648,0.0041,0.0040
13/06/2016 14:00:02,19,2.4245,2.3298,2.3836,12.7368,15.2763,37.0256,37.0153,7.6881,7.8390,58.7938,58.9867,0.0041,0.0040
13/06/2016 16:00:02,19,2.4233,2.3287,2.3827,12.7486,15.8964,37.0280,37.0014,7.6395,7.8646,58.3734,59.8351,0.0041,0.0041
13/06/2016 18:00:02,19,2.4172,2.3224,2.3762,12.7573,15.5522,37.0320,36.9323,7.6197,7.9032,57.9290,62.2840,0.0040,0.0043
13/06/2016 20:00:02,19,2.4110,2.3163,2.3702,12.7775,15.2225,37.0421,36.6189,7.6383,7.9566,56.0022,65.0047,0.0039,0.0049
13/06/2016 22:00:02,19,2.4002,2.3054,2.3593,12.8066,14.1657,37.0514,36.7508,7.6221,7.8795,54.2234,61.7326,0.0038,0.0045
14/06/2016 00:00:00,19,2.3917,2.2969,2.3508,12.8263,13.7935,37.0611,36.8159,7.5740,7.8633,53.0357,60.8843,0.0038,0.0044
14/06/2016 02:00:06,19,2.3848,2.2899,2.3438,12.8338,13.6127,37.0801,36.8342,7.4935,7.8551,52.2581,60.5297,0.0037,0.0043
14/06/2016 04:00:02,19,2.3769,2.2821,2.3361,12.8372,13.4874,37.1237,36.8585,7.3729,7.8298,52.2118,59.7395,0.0038,0.0043
14/06/2016 06:00:06,19,2.3700,2.2752,2.3291,12.8706,13.4174,37.1673,36.8789,7.2696,7.8097,52.6067,59.2206,0.0038,0.0042
14/06/2016 08:00:00,19,2.3661,2.2713,2.3252,12.9077,13.3789,37.1888,36.8896,7.1915,7.8042,52.9478,59.0067,0.0039,0.0042
14/06/2016 10:00:00,19,2.3618,2.2671,2.3210,12.9249,13.4555,37.2205,36.8981,7.0723,7.8099,53.4775,58.8380,0.0040,0.0042
14/06/2016 12:00:03,19,2.3555,2.2609,2.3148,12.9359,13.8302,37.2599,36.8930,6.9262,7.8485,54.0706,59.1753,0.0040,0.0042
14/06/2016 14:00:04,19,2.3481,2.2534,2.3072,12.9488,14.2895,37.2991,36.8808,6.7978,7.8910,54.7210,59.8910,0.0041,0.0042
14/06/2016 16:00:02,19,2.3405,2.2458,2.2997,12.9648,14.7395,37.3447,36.8794,6.6813,7.9154,55.5109,60.3878,0.0042,0.0042
14/06/2016 18:00:00,19,2.3311,2.2364,2.2903,12.9754,14.6653,37.3917,36.8697,6.5804,7.9175,56.3535,60.9357,0.0043,0.0043
14/06/2016 20:00:09,19,2.3234,2.2287,2.2826,12.9842,14.4785,37.4364,36.8500,6.4903,7.9195,57.1637,61.5127,0.0044,0.0043
14/06/2016 22:00:04,19,2.3177,2.2229,2.2768,12.9978,14.2598,37.4925,36.8642,6.3972,7.9127,58.1494,61.0510,0.0045,0.0043
15/06/2016 00:00:09,19,2.3084,2.2136,2.2676,13.0173,14.0963,37.5368,36.8762,6.3192,7.8936,58.9968,60.3943,0.0046,0.0042
15/06/2016 02:00:08,19,2.3009,2.2061,2.2601,13.0386,13.8485,37.5660,36.8968,6.2392,7.8510,59.6409,59.5899,0.0047,0.0042
15/06/2016 04:00:06,19,2.3017,2.2068,2.2608,13.0626,13.6287,37.5687,36.9170,6.1736,7.8232,59.9336,59.1110,0.0048,0.0041
15/06/2016 06:00:07,19,2.3022,2.2075,2.2613,13.0916,13.4648,37.5590,36.9436,6.1578,7.7812,60.1000,58.7003,0.0048,0.0041
15/06/2016 08:00:02,19,2.3168,2.2221,2.2761,13.1195,13.3183,37.5427,36.9571,6.1889,7.7384,60.1716,58.5230,0.0048,0.0041
15/06/2016 10:00:01,19,2.3316,2.2366,2.2905,13.1402,13.4250,37.5434,36.9598,6.1715,7.7164,60.4288,58.4310,0.0048,0.0041
15/06/2016 12:00:05,19,2.3313,2.2366,2.2906,13.1571,13.4614,37.5463,36.9591,6.1294,7.7085,60.7148,58.4393,0.0048,0.0041
15/06/2016 14:00:00,19,2.3253,2.2305,2.2844,13.1713,13.5302,37.5495,36.9580,6.0993,7.7061,61.0164,58.5269,0.0048,0.0041
15/06/2016 16:00:04,19,2.3194,2.2246,2.2785,13.1843,13.5963,37.5485,36.9573,6.0656,7.7053,61.2393,58.6493,0.0049,0.0041
15/06/2016 18:00:03,19,2.3132,2.2186,2.2725,13.1926,13.5495,37.5453,36.9564,6.0272,7.7040,61.4058,58.7769,0.0049,0.0041
15/06/2016 20:00:01,19,2.3083,2.2137,2.2677,13.1978,13.5082,37.5402,36.9549,5.9916,7.7050,61.5342,58.8950,0.0049,0.0041
15/06/2016 22:00:08,19,2.3020,2.2072,2.2611,13.1995,13.4409,37.5338,36.9483,5.9561,7.7001,61.6202,58.9750,0.0050,0.0041
16/06/2016 00:00:07,19,2.2943,2.1998,2.2536,13.1947,13.3584,37.5246,36.9442,5.9159,7.6999,61.6160,58.9889,0.0050,0.0041
16/06/2016 02:00:06,19,2.2934,2.1987,2.2526,13.1686,13.2856,37.4842,36.9579,5.9218,7.6639,61.1236,59.0640,0.0049,0.0041
16/06/2016 04:00:08,19,2.3034,2.2089,2.2626,13.1535,13.1372,37.4382,36.9614,6.0297,7.6291,60.6719,59.1890,0.0049,0.0041
16/06/2016 06:00:09,19,2.3284,2.2336,2.2875,13.1422,12.9975,37.4003,36.9626,6.1424,7.5879,60.4234,59.3059,0.0048,0.0041
16/06/2016 08:00:05,19,2.3599,2.2653,2.3192,13.1334,12.9080,37.3726,36.9629,6.2352,7.5380,60.3514,59.3847,0.0048,0.0041
16/06/2016 10:00:05,19,2.3951,2.3002,2.3542,13.1320,13.0588,37.3555,36.9636,6.2310,7.5078,60.3856,59.3969,0.0048,0.0041
16/06/2016 12:00:07,19,2.3909,2.2963,2.3502,13.1397,13.8589,37.3394,36.9649,6.2313,7.5135,60.4326,59.4102,0.0048,0.0041
16/06/2016 14:00:03,19,2.3861,2.2914,2.3453,13.1362,14.1511,37.3195,36.9671,6.2305,7.5280,60.4258,59.3919,0.0047,0.0041
