Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top),Age (Bottom),Age (top),NH4 (Bottom),NH4 (top)
14/01/2017 00:00:03,6,1.1917,0.9319,1.0637,25.1390,25.0930,37.8122,37.8139,6.2852,6.2851,30.8636,30.8681,0.0025,0.0025
14/01/2017 02:00:02,6,1.1857,0.9259,1.0578,24.5077,24.4620,37.8174,37.8189,6.1788,6.1800,30.9711,30.9744,0.0025,0.0025
14/01/2017 04:00:02,6,1.1781,0.9183,1.0502,23.8963,23.8491,37.8263,37.8278,6.0942,6.0959,31.1303,31.1348,0.0026,0.0026
14/01/2017 06:00:04,6,1.1637,0.9041,1.0359,23.2111,23.1618,37.8519,37.8538,5.9989,6.0024,31.4401,31.4477,0.0026,0.0026
14/01/2017 08:00:03,6,1.1487,0.8891,1.0208,22.8541,22.8305,37.8971,37.8998,6.1059,6.1089,31.9129,31.9261,0.0026,0.0026
14/01/2017 10:00:03,6,1.1403,0.8806,1.0124,23.3180,23.4264,37.9383,37.9447,6.4242,6.4220,32.3535,32.3858,0.0025,0.0025
14/01/2017 12:00:00,6,1.1339,0.8742,1.0060,23.9068,25.1391,37.9661,37.9931,7.1508,6.5967,32.6250,32.8778,0.0024,0.0024
14/01/2017 14:00:00,6,1.1276,0.8678,0.9997,24.3994,27.2894,38.0038,38.1181,8.5188,6.6314,32.8797,34.0252,0.0023,0.0024
14/01/2017 16:00:07,6,1.1234,0.8636,0.9955,24.8752,29.1343,38.0486,38.4225,9.6557,6.7136,33.1634,36.6789,0.0021,0.0022
14/01/2017 18:00:07,6,1.1172,0.8574,0.9893,25.1976,30.2238,38.0990,38.6327,10.3326,6.8197,33.4346,38.7500,0.0020,0.0021
14/01/2017 20:00:00,6,1.1169,0.8571,0.9890,25.2620,28.8061,38.1160,38.4233,9.6836,6.8716,33.5657,37.2813,0.0020,0.0020
14/01/2017 22:00:04,6,1.1248,0.8650,0.9969,25.1973,27.5584,38.1004,38.2948,8.3810,6.9156,33.5757,36.2075,0.0022,0.0021
15/01/2017 00:00:05,6,1.1318,0.8720,1.0038,25.2376,26.0027,38.0865,38.2068,7.1711,7.0733,33.9164,35.2411,0.0023,0.0021
15/01/2017 02:00:02,6,1.1430,0.8834,1.0152,25.0774,25.0354,38.1468,38.1486,6.7850,6.7866,34.8423,34.8502,0.0023,0.0023
15/01/2017 04:00:07,6,1.1373,0.8775,1.0094,24.5426,24.5074,38.1718,38.1726,6.5984,6.5998,35.1317,35.1329,0.0023,0.0023
15/01/2017 06:00:06,6,1.1308,0.8710,1.0029,24.1494,24.1228,38.1899,38.1902,6.4303,6.4318,35.3781,35.3781,0.0024,0.0024
15/01/2017 08:00:02,6,1.1233,0.8636,0.9954,24.0399,24.0848,38.2047,38.2051,6.3708,6.4031,35.5772,35.5658,0.0023,0.0023
15/01/2017 10:00:08,6,1.1138,0.8540,0.9858,24.2030,25.0118,38.2608,38.2289,6.7052,6.5585,35.9790,35.7481,0.0022,0.0023
15/01/2017 12:00:00,6,1.1116,0.8518,0.9837,24.5183,27.6533,38.2953,38.2028,7.8544,6.6665,36.2678,35.6198,0.0021,0.0022
15/01/2017 14:00:05,6,1.1149,0.8550,0.9869,24.8090,28.9979,38.2991,38.2326,8.6252,6.6431,36.4119,35.3900,0.0020,0.0022
15/01/2017 16:00:07,6,1.1358,0.8761,1.0079,24.8628,28.3284,38.2683,38.2885,7.7976,6.5452,36.4488,35.5187,0.0020,0.0021
15/01/2017 18:00:00,6,1.1527,0.8930,1.0249,24.9559,28.2898,38.2502,38.2476,6.6984,6.7021,36.7327,34.5938,0.0021,0.0021
15/01/2017 20:00:00,6,1.1652,0.9053,1.0372,24.9354,27.5899,38.2408,38.1659,6.2906,7.1291,36.9330,33.9172,0.0022,0.0022
15/01/2017 22:00:01,6,1.1892,0.9293,1.0612,24.9433,26.8011,38.2474,38.1187,6.1139,7.2783,37.2218,33.8799,0.0023,0.0022
16/01/2017 00:00:00,6,1.2083,0.9484,1.0803,24.9875,25.8230,38.2674,38.1403,5.9609,7.0361,37.6226,34.4463,0.0023,0.0022
16/01/2017 02:00:05,6,1.2195,0.9597,1.0916,25.0250,25.2950,38.2861,38.1809,5.5254,6.7202,37.9249,35.2401,0.0024,0.0023
16/01/2017 04:00:03,6,1.2192,0.9594,1.0912,25.0228,24.9151,38.2765,38.2197,5.7712,6.2188,36.9236,36.1065,0.0024,0.0023
16/01/2017 06:00:05,6,1.2195,0.9597,1.0916,24.8200,24.8047,38.2373,38.2381,5.9944,6.0026,36.4104,36.4110,0.0024,0.0024
16/01/2017 08:00:01,6,1.2130,0.9534,1.0852,24.7978,24.8230,38.2587,38.2629,5.9692,6.0252,36.6655,36.6988,0.0023,0.0023
16/01/2017 10:00:06,6,1.2058,0.9461,1.0779,25.0130,25.4681,38.2976,38.3040,6.1296,6.2847,36.8813,37.1026,0.0023,0.0022
16/01/2017 12:00:04,6,1.2136,0.9539,1.0857,25.3684,27.6204,38.3316,38.2271,6.8099,6.6730,37.1016,36.4643,0.0022,0.0021
16/01/2017 14:00:02,6,1.2324,0.9726,1.1045,25.7480,29.4858,38.3561,38.1841,7.4839,6.4821,37.3155,35.2038,0.0021,0.0022
16/01/2017 16:00:06,6,1.2538,0.9941,1.1259,25.9800,28.9166,38.3840,38.2263,7.3825,6.4336,37.6903,35.5330,0.0021,0.0022
16/01/2017 18:00:00,6,1.2820,1.0221,1.1541,25.8996,28.4279,38.3806,38.2062,6.8569,6.4704,37.9163,35.0426,0.0021,0.0022
16/01/2017 20:00:03,6,1.2923,1.0324,1.1643,25.8418,27.5690,38.3973,38.1242,6.2602,6.6290,38.3744,34.2760,0.0022,0.0022
16/01/2017 22:00:06,6,1.3018,1.0421,1.1739,25.8189,26.8868,38.4030,38.0052,5.9653,6.7671,38.6818,33.3729,0.0023,0.0022
17/01/2017 00:00:03,6,1.2991,1.0395,1.1713,25.8199,26.4988,38.4117,38.0179,5.4645,6.7214,38.9154,33.6831,0.0024,0.0022
17/01/2017 02:00:05,6,1.2956,1.0359,1.1677,25.8330,26.1427,38.4200,38.0934,4.8554,6.5009,39.1138,34.3185,0.0026,0.0023
17/01/2017 04:00:03,6,1.2911,1.0314,1.1632,25.8250,25.7540,38.4241,38.1902,4.3638,6.1197,39.2589,35.3993,0.0028,0.0023
17/01/2017 06:00:05,6,1.2819,1.0222,1.1540,25.6731,25.5626,38.3400,38.2798,4.9746,5.2090,37.3773,36.6452,0.0026,0.0025
17/01/2017 08:00:07,6,1.2748,1.0151,1.1469,25.4122,25.3949,38.2920,38.2922,4.6702,4.6697,36.7347,36.7329,0.0026,0.0026
17/01/2017 10:00:03,6,1.2716,1.0119,1.1437,25.4529,25.8166,38.2919,38.2936,4.7475,4.3780,36.7498,36.4416,0.0026,0.0026
17/01/2017 12:00:05,6,1.2717,1.0119,1.1438,25.5585,27.1031,38.2931,38.2935,5.2870,4.4041,36.9389,35.4118,0.0025,0.0026
17/01/2017 14:00:09,6,1.2780,1.0181,1.1500,25.6976,27.7814,38.2987,38.2872,5.8942,5.0048,37.2938,35.0172,0.0024,0.0025
17/01/2017 16:00:08,6,1.3008,1.0406,1.1727,25.9559,27.5121,38.3220,38.2130,6.2983,5.7795,37.9431,34.9195,0.0023,0.0024
17/01/2017 18:00:04,6,1.3251,1.0647,1.1970,26.2706,27.0901,38.3650,38.2139,6.3253,6.2981,38.4536,35.2533,0.0023,0.0024
17/01/2017 20:00:02,6,1.3305,1.0704,1.2024,26.5943,26.5465,38.2796,38.2804,6.2944,6.3023,35.7081,35.6281,0.0024,0.0024
