Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top),Age (Bottom),Age (top),NH4 (Bottom),NH4 (top)
16/04/2016 00:00:02,19,2.2401,1.5553,1.8084, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 02:00:09,19,2.2301,1.5453,1.7983, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 04:00:06,19,2.2205,1.5357,1.7887, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 06:00:05,19,2.2096,1.5247,1.7778, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 08:00:03,19,2.1999,1.5150,1.7681, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 10:00:07,19,2.2005,1.5155,1.7687, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 12:00:04,19,2.2205,1.5356,1.7888, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 14:00:07,19,2.2454,1.5606,1.8137, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 16:00:07,19,2.2679,1.5829,1.8362, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 18:00:08,19,2.2878,1.6027,1.8560, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 20:00:03,19,2.3006,1.6154,1.8687, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 22:00:09,19,2.3112,1.6261,1.8794, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 00:00:07,19,2.3147,1.6296,1.8828, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 02:00:00,19,2.3105,1.6255,1.8787, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 04:00:00,19,2.3008,1.6158,1.8690, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 06:00:02,19,2.2940,1.6090,1.8622, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 08:00:08,19,2.2929,1.6078,1.8611, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 10:00:06,19,2.2947,1.6094,1.8628, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 12:00:08,19,2.2931,1.6077,1.8611, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 14:00:08,19,2.3110,1.6259,1.8792, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 16:00:01,19,2.3338,1.6489,1.9021, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 18:00:02,19,2.3386,1.6536,1.9068, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 20:00:05,19,2.3439,1.6589,1.9121, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
