Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top),Age (Bottom),Age (top),NH4 (Bottom),NH4 (top)
17/01/2017 00:00:03,23,4.2131,1.8336,3.0008, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/01/2017 02:00:05,23,4.2121,1.8327,2.9999, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/01/2017 04:00:03,23,4.2080,1.8286,2.9959, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/01/2017 06:00:05,23,4.1997,1.8204,2.9876, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/01/2017 08:00:07,23,4.1907,1.8113,2.9785, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/01/2017 10:00:03,23,4.1867,1.8073,2.9745, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/01/2017 12:00:05,23,4.1855,1.8061,2.9734, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/01/2017 14:00:09,23,4.1957,1.8162,2.9835, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/01/2017 16:00:08,23,4.2214,1.8413,3.0088, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/01/2017 18:00:04,23,4.2455,1.8656,3.0331, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/01/2017 20:00:02,23,4.2591,1.8796,3.0469, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
17/01/2017 22:00:06,23,4.2541,1.8751,3.0422, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
18/01/2017 00:00:00,23,4.2477,1.8685,3.0357, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
18/01/2017 02:00:00,23,4.2395,1.8604,3.0276, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
18/01/2017 04:00:04,23,4.2265,1.8473,3.0145, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
18/01/2017 06:00:03,23,4.2068,1.8276,2.9948, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
18/01/2017 08:00:03,23,4.1905,1.8112,2.9784, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
18/01/2017 10:00:07,23,4.1863,1.8068,2.9741, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
18/01/2017 12:00:02,23,4.1866,1.8070,2.9743, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
18/01/2017 14:00:02,23,4.1929,1.8132,2.9805, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
18/01/2017 16:00:08,23,4.2080,1.8283,2.9956, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
18/01/2017 18:00:06,23,4.2335,1.8538,3.0210, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
18/01/2017 20:00:02,23,4.2692,1.8893,3.0566, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
18/01/2017 22:00:00,23,4.2842,1.9045,3.0718, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
19/01/2017 00:00:03,23,4.2881,1.9086,3.0759, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
19/01/2017 02:00:05,23,4.2817,1.9022,3.0695, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
19/01/2017 04:00:08,23,4.2723,1.8928,3.0601, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
19/01/2017 06:00:04,23,4.2524,1.8731,3.0403, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
19/01/2017 08:00:00,23,4.2335,1.8541,3.0214, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
19/01/2017 10:00:03,23,4.2328,1.8532,3.0205, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
19/01/2017 12:00:08,23,4.2385,1.8588,3.0261, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
19/01/2017 14:00:01,23,4.2492,1.8693,3.0367, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
19/01/2017 16:00:06,23,4.2700,1.8901,3.0575, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
19/01/2017 18:00:09,23,4.2971,1.9172,3.0846, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
19/01/2017 20:00:00,23,4.3336,1.9539,3.1211, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
19/01/2017 22:00:09,23,4.3567,1.9773,3.1445, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/01/2017 00:00:09,23,4.3560,1.9767,3.1439, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/01/2017 02:00:07,23,4.3481,1.9689,3.1361, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/01/2017 04:00:05,23,4.3373,1.9580,3.1252, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/01/2017 06:00:04,23,4.3242,1.9450,3.1122, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/01/2017 08:00:01,23,4.3114,1.9321,3.0993, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/01/2017 10:00:06,23,4.3018,1.9225,3.0897, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/01/2017 12:00:08,23,4.2976,1.9181,3.0854, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/01/2017 14:00:05,23,4.2954,1.9159,3.0832, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/01/2017 16:00:04,23,4.2973,1.9179,3.0851, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/01/2017 18:00:03,23,4.3186,1.9390,3.1062, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/01/2017 20:00:05,23,4.3510,1.9712,3.1385, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/01/2017 22:00:00,23,4.3793,1.9996,3.1669, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/01/2017 00:00:07,23,4.3880,2.0087,3.1759, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/01/2017 02:00:06,23,4.3774,1.9982,3.1654, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/01/2017 04:00:07,23,4.3586,1.9795,3.1466, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/01/2017 06:00:06,23,4.3409,1.9618,3.1290, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/01/2017 08:00:01,23,4.3252,1.9460,3.1132, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/01/2017 10:00:05,23,4.3101,1.9309,3.0981, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/01/2017 12:00:07,23,4.3008,1.9216,3.0888, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/01/2017 14:00:04,23,4.2930,1.9137,3.0809, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/01/2017 16:00:09,23,4.2828,1.9036,3.0708, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/01/2017 18:00:08,23,4.2785,1.8994,3.0665, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/01/2017 20:00:01,23,4.2956,1.9162,3.0833, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
