Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top),Age (Bottom),Age (top),NH4 (Bottom),NH4 (top)
01/10/2016 00:00:08,4,2.4422,1.9884,2.2252, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 02:00:04,4,2.4365,1.9987,2.2286, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 04:00:07,4,2.4294,1.9882,2.2195, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 06:00:02,4,2.4550,2.0244,2.2515, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 08:00:03,4,2.5924,2.1696,2.3935, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 10:00:00,4,2.5839,2.1499,2.3786, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 12:00:05,4,2.5990,2.1669,2.3945, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 14:00:02,4,2.5143,2.0746,2.3050, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 16:00:02,4,2.5712,2.1565,2.3765, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 18:00:00,4,2.5375,2.0909,2.3240, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 20:00:07,4,2.5473,2.1287,2.3504, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 22:00:07,4,2.5490,2.0850,2.3253, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 00:00:06,4,2.5302,2.0746,2.3114, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 02:00:07,4,2.5063,2.0590,2.2923, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 04:00:00,4,2.4352,1.9771,2.2148, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 06:00:01,4,2.4872,2.0316,2.2682, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 08:00:03,4,2.4423,1.9697,2.2134, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 10:00:05,4,2.4360,1.9886,2.2220, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 12:00:06,4,2.4492,1.9912,2.2289, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 14:00:04,4,2.4297,1.9622,2.2037, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 16:00:04,4,2.3886,1.9200,2.1621, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 18:00:01,4,2.4053,1.9353,2.1779, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 20:00:08,4,2.4092,1.9588,2.1935, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 22:00:02,4,2.4392,1.9880,2.2231, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
03/10/2016 00:00:06,4,2.4428,1.9956,2.2291, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
03/10/2016 02:00:01,4,2.4056,1.9444,2.1835, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
03/10/2016 04:00:01,4,2.3365,1.8764,2.1151, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
03/10/2016 06:00:01,4,2.3531,1.8948,2.1327, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
03/10/2016 08:00:03,4,2.3598,1.8978,2.1372, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
03/10/2016 10:00:00,4,2.3717,1.9127,2.1510, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
03/10/2016 12:00:01,4,2.3777,1.9135,2.1540, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
