Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top),Age (Bottom),Age (top),NH4 (Bottom),NH4 (top)
30/05/2017 00:00:06,18,2.7690,1.7612,2.4629,14.4155,13.3142,37.5155,35.2488,6.2246,7.3701,65.2586,63.2306,0.0039,0.0049
30/05/2017 02:00:01,18,2.7593,1.7516,2.4533,14.4060,13.0841,37.5112,35.4452,6.1508,7.3406,65.2868,63.4621,0.0040,0.0047
30/05/2017 04:00:03,18,2.7517,1.7439,2.4456,14.3903,12.8728,37.5053,35.6114,6.0288,7.3203,65.2593,63.2457,0.0040,0.0046
30/05/2017 06:00:03,18,2.7481,1.7404,2.4420,14.3670,12.5762,37.4983,35.5601,5.8647,7.2325,65.2035,62.8122,0.0040,0.0047
30/05/2017 08:00:01,18,2.7444,1.7367,2.4384,14.3527,12.5086,37.4920,35.6892,5.7559,7.1719,65.1991,62.9734,0.0041,0.0046
30/05/2017 10:00:08,18,2.7405,1.7327,2.4344,14.3489,13.1097,37.4853,35.9550,5.7624,7.2212,65.1968,63.4012,0.0041,0.0044
30/05/2017 12:00:06,18,2.7426,1.7348,2.4365,14.3512,14.3498,37.4752,36.0772,5.8722,7.2904,65.1392,63.6926,0.0041,0.0043
30/05/2017 14:00:03,18,2.7408,1.7331,2.4348,14.3570,15.5504,37.4629,36.1541,6.0041,7.3392,65.0303,63.7910,0.0040,0.0042
30/05/2017 16:00:01,18,2.7460,1.7385,2.4400,14.3675,16.1331,37.4540,36.2892,6.0747,7.3727,64.9917,63.6865,0.0040,0.0041
30/05/2017 18:00:09,18,2.7462,1.7385,2.4401,14.3864,15.6867,37.4513,36.4174,6.0568,7.3903,65.0996,63.4640,0.0040,0.0040
30/05/2017 20:00:06,18,2.7398,1.7319,2.4337,14.4120,15.1822,37.4510,36.4306,6.0051,7.3913,65.2732,63.2824,0.0041,0.0040
30/05/2017 22:00:06,18,2.7338,1.7259,2.4277,14.4388,14.6829,37.4461,36.0523,5.9574,7.2871,65.3282,62.7800,0.0041,0.0043
31/05/2017 00:00:06,18,2.7257,1.7179,2.4196,14.4555,14.2348,37.4457,35.2833,5.8913,7.0771,65.5447,61.4744,0.0041,0.0047
31/05/2017 02:00:01,18,2.7169,1.7091,2.4108,14.4514,13.8575,37.4644,35.1350,5.8329,7.0679,66.3027,60.9930,0.0042,0.0047
31/05/2017 04:00:06,18,2.7109,1.7031,2.4048,14.4452,13.5028,37.4975,35.2083,5.8161,7.0672,67.5970,60.9072,0.0043,0.0046
31/05/2017 06:00:01,18,2.7167,1.7090,2.4107,14.4388,13.0686,37.5329,35.2603,5.8201,7.0619,69.0049,60.9007,0.0044,0.0046
31/05/2017 08:00:06,18,2.7241,1.7165,2.4181,14.4351,12.6236,37.5755,35.3405,5.8297,7.0646,70.6310,61.2624,0.0045,0.0046
