Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top),Age (Bottom),Age (top),NH4 (Bottom),NH4 (top)
01/10/2016 00:00:08,23,4.2447,1.8650,3.0323, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 02:00:04,23,4.2655,1.8856,3.0530, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 04:00:07,23,4.2810,1.9010,3.0685, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 06:00:02,23,4.3174,1.9370,3.1046, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 08:00:03,23,4.3582,1.9782,3.1457, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 10:00:00,23,4.3917,2.0119,3.1793, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 12:00:05,23,4.4130,2.0332,3.2006, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 14:00:02,23,4.4164,2.0368,3.2042, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 16:00:02,23,4.4100,2.0305,3.1979, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 18:00:00,23,4.3962,2.0170,3.1843, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 20:00:07,23,4.3853,2.0061,3.1733, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
01/10/2016 22:00:07,23,4.3877,2.0084,3.1757, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 00:00:06,23,4.3772,1.9980,3.1653, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 02:00:07,23,4.3670,1.9878,3.1551, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 04:00:00,23,4.3569,1.9777,3.1450, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 06:00:01,23,4.3466,1.9674,3.1347, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 08:00:03,23,4.3360,1.9568,3.1241, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 10:00:05,23,4.3167,1.9377,3.1049, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 12:00:06,23,4.3011,1.9220,3.0893, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 14:00:04,23,4.2919,1.9127,3.0799, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 16:00:04,23,4.2818,1.9027,3.0699, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 18:00:01,23,4.2683,1.8892,3.0564, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 20:00:08,23,4.2550,1.8759,3.0431, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/10/2016 22:00:02,23,4.2473,1.8682,3.0354, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
