Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top),Age (Bottom),Age (top),NH4 (Bottom),NH4 (top)
02/05/2016 00:00:01,4,2.3246,1.8607,2.1010, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/05/2016 02:00:03,4,2.3337,1.8685,2.1093, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/05/2016 04:00:04,4,2.3369,1.8721,2.1127, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/05/2016 06:00:03,4,2.3468,1.8993,2.1329, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/05/2016 08:00:05,4,2.4147,1.9724,2.2042, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/05/2016 10:00:01,4,2.4051,1.9293,2.1750, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/05/2016 12:00:09,4,2.3122,1.8553,2.0929, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/05/2016 14:00:08,4,2.3666,1.9315,2.1600, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/05/2016 16:00:00,4,2.4152,1.9493,2.1906, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/05/2016 18:00:02,4,2.3396,1.8845,2.1215, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/05/2016 20:00:05,4,2.3491,1.8971,2.1327, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
02/05/2016 22:00:00,4,2.3390,1.8954,2.1273, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
03/05/2016 00:00:06,4,2.3088,1.8519,2.0892, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
03/05/2016 02:00:04,4,2.2508,1.7862,2.0267, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
03/05/2016 04:00:00,4,2.2889,1.8372,2.0724, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
03/05/2016 06:00:00,4,2.3224,1.8601,2.0998, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
03/05/2016 08:00:02,4,2.3238,1.8808,2.1127, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
03/05/2016 10:00:05,4,2.3462,1.8984,2.1323, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
03/05/2016 12:00:02,4,2.3045,1.8501,2.0865, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
03/05/2016 14:00:00,4,2.2905,1.8300,2.0689, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
03/05/2016 16:00:02,4,2.2967,1.8438,2.0796, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
03/05/2016 18:00:07,4,2.3070,1.8495,2.0873, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
03/05/2016 20:00:04,4,2.3483,1.8831,2.1246, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
03/05/2016 22:00:04,4,2.2764,1.8179,2.0562, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
04/05/2016 00:00:06,4,2.2796,1.8398,2.0703, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
04/05/2016 02:00:01,4,2.2463,1.7916,2.0281, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
04/05/2016 04:00:08,4,2.2704,1.8047,2.0458, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
04/05/2016 06:00:07,4,2.3200,1.8592,2.0988, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
04/05/2016 08:00:08,4,2.3238,1.8871,2.1170, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
04/05/2016 10:00:08,4,2.3391,1.8985,2.1300, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
04/05/2016 12:00:06,4,2.3144,1.8733,2.1045, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
04/05/2016 14:00:07,4,2.3092,1.8605,2.0945, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
04/05/2016 16:00:01,4,2.3097,1.8469,2.0867, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
04/05/2016 18:00:05,4,2.3085,1.8509,2.0887, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
04/05/2016 20:00:08,4,2.3125,1.8754,2.1051, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
04/05/2016 22:00:04,4,2.3484,1.9227,2.1478, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
05/05/2016 00:00:08,4,2.3424,1.8921,2.1271, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
05/05/2016 02:00:02,4,2.2693,1.8088,2.0478, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
05/05/2016 04:00:05,4,2.2998,1.8592,2.0899, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
05/05/2016 06:00:05,4,2.3581,1.9091,2.1437, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
05/05/2016 08:00:05,4,2.3812,1.9383,2.1709, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
05/05/2016 10:00:07,4,2.3624,1.9259,2.1557, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
05/05/2016 12:00:05,4,2.3836,1.9525,2.1799, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
05/05/2016 14:00:00,4,2.3368,1.8715,2.1123, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
05/05/2016 16:00:00,4,2.2917,1.8311,2.0700, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
05/05/2016 18:00:09,4,2.3114,1.8577,2.0938, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
05/05/2016 20:00:01,4,2.3179,1.8663,2.1015, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
05/05/2016 22:00:04,4,2.3554,1.9171,2.1470, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
06/05/2016 00:00:02,4,2.3835,1.9129,2.1564, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
06/05/2016 02:00:06,4,2.2962,1.8414,2.0782, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
06/05/2016 04:00:03,4,2.3557,1.9091,2.1426, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
06/05/2016 06:00:05,4,2.3613,1.9182,2.1505, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
06/05/2016 08:00:01,4,2.4001,1.9589,2.1908, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
06/05/2016 10:00:02,4,2.4568,2.0129,2.2463, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
06/05/2016 12:00:06,4,2.4177,1.9931,2.2179, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
06/05/2016 14:00:09,4,2.4211,1.9692,2.2044, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
06/05/2016 16:00:07,4,2.3688,1.9020,2.1434, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
06/05/2016 18:00:03,4,2.3456,1.8829,2.1226, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
06/05/2016 20:00:09,4,2.3711,1.9293,2.1605, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
06/05/2016 22:00:09,4,2.3989,1.9713,2.1969, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
07/05/2016 00:00:03,4,2.3883,1.9533,2.1820, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
07/05/2016 02:00:02,4,2.4519,1.9983,2.2348, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
07/05/2016 04:00:07,4,2.4008,1.9587,2.1905, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
07/05/2016 06:00:08,4,2.4138,2.0018,2.2211, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
07/05/2016 08:00:06,4,2.4640,2.0544,2.2728, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
07/05/2016 10:00:01,4,2.5854,2.1683,2.3898, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
07/05/2016 12:00:03,4,2.6149,2.1503,2.3927, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
07/05/2016 14:00:05,4,2.4712,2.0171,2.2534, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
07/05/2016 16:00:02,4,2.4578,2.0055,2.2408, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
07/05/2016 18:00:04,4,2.4025,1.9313,2.1743, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
07/05/2016 20:00:03,4,2.3643,1.8991,2.1398, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
