Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top),Age (Bottom),Age (top),NH4 (Bottom),NH4 (top)
02/01/2017 00:00:05,1,1.1915,1.1915,1.1915,22.2927,23.9134,37.3287,37.7181,6.8231,7.0337,38.8765,46.9361,0.0019,0.0015
02/01/2017 02:00:00,1,1.1833,1.1833,1.1833,23.2473,23.2171,37.6949,37.6998,6.7835,6.7865,46.9710,47.0949,0.0016,0.0016
02/01/2017 04:00:02,1,1.1779,1.1779,1.1779,22.8446,22.8125,37.7513,37.7541,6.5878,6.5885,48.4756,48.5386,0.0017,0.0017
02/01/2017 06:00:02,1,1.1700,1.1700,1.1700,22.4646,22.4336,37.7962,37.7978,6.4344,6.4364,49.8008,49.8244,0.0017,0.0017
02/01/2017 08:00:04,1,1.1579,1.1579,1.1579,22.4333,22.6086,37.8270,37.8441,6.5382,6.4904,50.7962,50.9969,0.0017,0.0017
02/01/2017 10:00:09,1,1.1498,1.1498,1.1498,22.6316,24.2253,37.8934,37.8627,7.4146,6.6689,52.6448,50.7066,0.0018,0.0017
02/01/2017 12:00:04,1,1.1442,1.1442,1.1442,22.9470,26.4271,37.9599,37.5852,8.5073,6.8996,54.4124,43.3030,0.0019,0.0016
02/01/2017 14:00:02,1,1.1392,1.1392,1.1392,23.4134,27.4350,38.0198,37.3125,9.4386,6.9895,55.9744,34.5187,0.0019,0.0016
02/01/2017 16:00:07,1,1.1628,1.1628,1.1628,24.7190,26.5774,37.9965,37.3343,8.6755,6.9446,53.8960,34.7110,0.0018,0.0016
02/01/2017 18:00:04,1,1.1825,1.1825,1.1825,26.1898,26.5514,37.7276,37.3432,7.6952,6.9449,44.5502,34.5349,0.0017,0.0015
02/01/2017 20:00:07,1,1.2087,1.2087,1.2087,26.3090,25.8673,37.5699,37.2632,6.5232,6.9157,38.0550,32.4778,0.0017,0.0015
02/01/2017 22:00:07,1,1.2260,1.2260,1.2260,25.3086,25.2900,37.2483,37.2483,6.6224,6.6325,31.6682,31.6341,0.0016,0.0016
03/01/2017 00:00:03,1,1.2294,1.2294,1.2294,24.9657,24.9533,37.2359,37.2384,6.4283,6.4324,31.3854,31.4328,0.0016,0.0016
03/01/2017 02:00:09,1,1.2278,1.2278,1.2278,24.6615,24.6514,37.2257,37.2301,6.2356,6.2373,31.0253,31.1347,0.0016,0.0016
03/01/2017 04:00:07,1,1.2248,1.2248,1.2248,24.2111,24.1817,37.1867,37.1894,6.0791,6.0793,29.8873,29.9451,0.0017,0.0017
