Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top),Age (Bottom),Age (top),NH4 (Bottom),NH4 (top)
12/06/2016 00:00:08,4,0.9731,0.9442,0.9541,13.1271,13.1136,48.6044,48.6069,7.2230,7.2238,140.8962,140.9095,0.0117,0.0117
12/06/2016 02:00:02,4,0.9622,0.9333,0.9432,12.9830,12.9695,48.7004,48.7033,7.2235,7.2235,141.5070,141.5227,0.0119,0.0119
12/06/2016 04:00:06,4,0.9601,0.9312,0.9411,12.8368,12.8238,48.8198,48.8230,7.2017,7.2015,142.2472,142.2650,0.0121,0.0121
12/06/2016 06:00:06,4,0.9733,0.9443,0.9542,12.7153,12.7014,48.9339,48.9369,7.1781,7.1790,142.9623,142.9784,0.0124,0.0124
12/06/2016 08:00:02,4,0.9722,0.9431,0.9530,12.6184,12.6087,49.0341,49.0374,7.1774,7.1779,143.6003,143.6184,0.0125,0.0126
12/06/2016 10:00:02,4,0.9896,0.9604,0.9703,12.7607,12.7715,49.1192,49.1229,7.2283,7.2298,144.1461,144.1650,0.0126,0.0126
12/06/2016 12:00:07,4,1.0149,0.9857,0.9956,13.1147,13.1820,49.1741,49.1807,7.2789,7.2869,144.5176,144.5464,0.0125,0.0125
12/06/2016 14:00:05,4,1.0429,1.0137,1.0236,13.3509,13.3418,49.1870,49.1900,7.3269,7.3289,144.6270,144.6419,0.0124,0.0124
12/06/2016 16:00:09,4,1.0656,1.0363,1.0462,13.3160,13.3179,49.1210,49.1212,7.3703,7.3756,144.2692,144.2637,0.0122,0.0122
12/06/2016 18:00:09,4,1.0827,1.0534,1.0632,13.2934,13.2805,49.0291,49.0296,7.3890,7.3922,143.7749,143.7742,0.0121,0.0121
12/06/2016 20:00:01,4,1.0792,1.0498,1.0597,13.2166,13.2036,48.9903,48.9916,7.3905,7.3938,143.6081,143.6132,0.0120,0.0120
12/06/2016 22:00:05,4,1.0818,1.0525,1.0623,13.1753,13.1680,48.9448,48.9445,7.3938,7.3973,143.4028,143.3981,0.0118,0.0118
13/06/2016 00:00:05,4,1.1017,1.0726,1.0824,13.1836,13.0117,48.8792,45.6889,7.3721,7.6266,143.0370,123.4099,0.0117,0.0101
13/06/2016 02:00:00,4,1.0962,1.0670,1.0768,13.1778,12.9581,48.8830,43.2191,7.3049,7.7443,143.1144,108.0950,0.0117,0.0089
13/06/2016 04:00:00,4,1.0970,1.0677,1.0775,13.1726,12.9267,48.8894,42.2513,7.2347,7.7666,143.2303,102.3477,0.0118,0.0085
13/06/2016 06:00:06,4,1.1035,1.0743,1.0841,13.1687,12.3667,48.8939,40.9530,7.1751,7.7893,143.3415,94.2171,0.0118,0.0078
13/06/2016 08:00:04,4,1.1180,1.0890,1.0987,13.1707,12.1936,48.8895,39.7831,7.0740,7.8257,143.4062,86.0168,0.0118,0.0070
13/06/2016 10:00:04,4,1.1197,1.0904,1.1002,13.2214,12.8371,48.8824,38.6042,7.0128,7.9071,143.4619,80.1753,0.0118,0.0067
13/06/2016 12:00:00,4,1.1294,1.1003,1.1101,13.3413,14.2121,48.8156,37.5767,6.9581,7.9839,143.1503,77.0388,0.0117,0.0069
13/06/2016 14:00:02,4,1.1304,1.1012,1.1110,13.4758,15.5748,48.7055,36.9336,6.9136,8.0261,142.5268,74.8190,0.0115,0.0068
13/06/2016 16:00:02,4,1.1312,1.1021,1.1118,13.5588,16.1926,48.5834,36.5268,6.8654,8.0425,141.8186,73.0108,0.0114,0.0067
13/06/2016 18:00:02,4,1.1283,1.0992,1.1089,13.5760,15.7370,48.4187,36.4150,6.8167,8.0235,140.8597,71.7769,0.0113,0.0065
13/06/2016 20:00:02,4,1.1241,1.0950,1.1048,13.5892,15.0419,48.2085,36.5722,6.7814,8.0028,139.6327,71.0059,0.0112,0.0063
13/06/2016 22:00:02,4,1.1165,1.0874,1.0972,13.6110,14.6871,48.0500,36.6920,6.7286,7.9891,138.7553,71.0100,0.0111,0.0063
14/06/2016 00:00:00,4,1.1096,1.0804,1.0902,13.6271,14.5032,47.9292,36.8318,6.6402,7.9769,138.1172,71.3670,0.0111,0.0063
14/06/2016 02:00:06,4,1.1047,1.0756,1.0854,13.6604,14.0798,47.5977,36.7768,6.5832,7.9838,136.2095,71.3872,0.0110,0.0064
14/06/2016 04:00:02,4,1.0993,1.0702,1.0800,13.7173,13.7856,47.1347,36.6348,6.5698,8.0000,133.5344,71.3148,0.0108,0.0065
14/06/2016 06:00:06,4,1.0922,1.0631,1.0729,13.7572,13.5106,46.7249,36.5158,6.5383,8.0132,131.1696,71.1517,0.0106,0.0066
14/06/2016 08:00:00,4,1.0883,1.0592,1.0690,13.7787,13.4353,46.4551,36.4138,6.4707,8.0267,129.6327,70.7768,0.0105,0.0066
14/06/2016 10:00:00,4,1.0857,1.0566,1.0664,13.8205,13.6207,46.2958,36.3276,6.3956,8.0471,128.7574,70.3944,0.0105,0.0065
14/06/2016 12:00:03,4,1.0818,1.0527,1.0625,13.9025,14.1443,46.2260,36.1769,6.3266,8.0816,128.4181,69.6692,0.0105,0.0065
14/06/2016 14:00:04,4,1.0736,1.0445,1.0543,13.9927,14.7678,46.1760,36.1143,6.2745,8.1057,128.1938,69.5309,0.0104,0.0065
