Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top),Age (Bottom),Age (top),NH4 (Bottom),NH4 (top)
10/01/2017 00:00:01,4,1.1274,1.1162,1.1230,27.8396,27.8067,38.6660,38.6665,6.0588,6.0575,49.4232,49.4234,0.0027,0.0027
10/01/2017 02:00:07,4,1.1249,1.1135,1.1204,27.5049,27.4688,38.6385,38.6390,5.9026,5.9024,49.2246,49.2203,0.0029,0.0029
10/01/2017 04:00:01,4,1.1164,1.1050,1.1120,26.9631,26.9251,38.5988,38.5994,5.7937,5.7938,48.8772,48.8736,0.0030,0.0030
10/01/2017 06:00:00,4,1.1063,1.0948,1.1019,26.5188,26.4852,38.5692,38.5699,5.7172,5.7178,48.6548,48.6530,0.0031,0.0031
10/01/2017 08:00:01,4,1.0961,1.0845,1.0916,26.5252,26.5226,38.5549,38.5563,5.7765,5.7819,48.5736,48.5715,0.0031,0.0031
10/01/2017 10:00:07,4,1.0877,1.0761,1.0833,26.9182,27.2389,38.5493,38.5526,5.8349,5.9209,48.5902,48.5636,0.0029,0.0029
10/01/2017 12:00:01,4,1.0805,1.0687,1.0760,27.1828,28.3480,38.5608,38.5513,5.7970,6.0787,49.0635,48.6027,0.0028,0.0026
10/01/2017 14:00:04,4,1.0711,1.0593,1.0666,27.4826,29.3608,38.5883,38.5555,5.8952,6.2486,50.6030,48.7277,0.0026,0.0024
10/01/2017 16:00:08,4,1.0615,1.0496,1.0569,27.8674,29.8143,38.6087,38.5741,6.0523,6.4121,51.9410,49.0427,0.0023,0.0021
10/01/2017 18:00:07,4,1.0585,1.0466,1.0540,28.4423,29.7432,38.6103,38.5929,6.1928,6.5130,51.4157,49.2623,0.0022,0.0020
10/01/2017 20:00:06,4,1.0688,1.0571,1.0643,28.9653,29.1093,38.6073,38.6076,6.3426,6.4611,49.8484,49.5388,0.0020,0.0020
10/01/2017 22:00:05,4,1.0929,1.0813,1.0884,28.5850,28.5487,38.6042,38.6051,6.2918,6.2918,49.4434,49.4426,0.0021,0.0021
11/01/2017 00:00:02,4,1.1197,1.1082,1.1152,28.1707,28.1330,38.5997,38.6006,6.2195,6.2202,49.5031,49.5078,0.0022,0.0022
11/01/2017 02:00:05,4,1.1247,1.1133,1.1203,27.6703,27.6376,38.6147,38.6155,6.1564,6.1572,49.9916,49.9970,0.0024,0.0024
