Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top),Age (Bottom),Age (top),NH4 (Bottom),NH4 (top)
20/09/2016 00:00:05,8,2.3648,2.1831,2.2786, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/09/2016 02:00:04,8,2.3668,2.1852,2.2807, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/09/2016 04:00:06,8,2.3724,2.1908,2.2863, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/09/2016 06:00:04,8,2.3669,2.1853,2.2808, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/09/2016 08:00:06,8,2.3598,2.1781,2.2736, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/09/2016 10:00:04,8,2.3500,2.1684,2.2638, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/09/2016 12:00:05,8,2.3390,2.1574,2.2529, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/09/2016 14:00:04,8,2.3297,2.1481,2.2436, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/09/2016 16:00:06,8,2.3208,2.1392,2.2347, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/09/2016 18:00:02,8,2.3129,2.1313,2.2267, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/09/2016 20:00:09,8,2.3074,2.1258,2.2213, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
20/09/2016 22:00:07,8,2.3059,2.1242,2.2197, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/09/2016 00:00:08,8,2.3198,2.1380,2.2336, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/09/2016 02:00:01,8,2.3394,2.1575,2.2532, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/09/2016 04:00:04,8,2.3602,2.1784,2.2740, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/09/2016 06:00:03,8,2.3641,2.1824,2.2779, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/09/2016 08:00:06,8,2.3585,2.1768,2.2723, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/09/2016 10:00:08,8,2.3512,2.1695,2.2650, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/09/2016 12:00:03,8,2.3435,2.1618,2.2573, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/09/2016 14:00:07,8,2.3340,2.1524,2.2479, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/09/2016 16:00:00,8,2.3259,2.1442,2.2398, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/09/2016 18:00:02,8,2.3209,2.1393,2.2348, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/09/2016 20:00:06,8,2.3161,2.1344,2.2299, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
21/09/2016 22:00:01,8,2.3203,2.1385,2.2342, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
22/09/2016 00:00:08,8,2.3480,2.1661,2.2619, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
22/09/2016 02:00:04,8,2.3818,2.1999,2.2957, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
22/09/2016 04:00:09,8,2.4166,2.2346,2.3304, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
22/09/2016 06:00:02,8,2.4384,2.2565,2.3522, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
22/09/2016 08:00:01,8,2.4403,2.2585,2.3541, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
22/09/2016 10:00:05,8,2.4364,2.2548,2.3503, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
22/09/2016 12:00:03,8,2.4339,2.2522,2.3477, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
22/09/2016 14:00:04,8,2.4341,2.2525,2.3480, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
22/09/2016 16:00:01,8,2.4423,2.2608,2.3563, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
22/09/2016 18:00:07,8,2.4424,2.2609,2.3563, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
22/09/2016 20:00:05,8,2.4263,2.2448,2.3402, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
22/09/2016 22:00:02,8,2.4202,2.2385,2.3341, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
23/09/2016 00:00:06,8,2.4420,2.2602,2.3558, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
23/09/2016 02:00:09,8,2.4707,2.2890,2.3846, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
23/09/2016 04:00:05,8,2.4934,2.3117,2.4073, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
23/09/2016 06:00:02,8,2.5109,2.3293,2.4248, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
23/09/2016 08:00:06,8,2.5134,2.3318,2.4273, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
23/09/2016 10:00:04,8,2.5015,2.3199,2.4154, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
23/09/2016 12:00:05,8,2.4899,2.3083,2.4038, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
23/09/2016 14:00:04,8,2.4844,2.3029,2.3983, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
23/09/2016 16:00:01,8,2.4842,2.3027,2.3981, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
23/09/2016 18:00:05,8,2.4756,2.2940,2.3894, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
23/09/2016 20:00:02,8,2.4530,2.2715,2.3669, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
23/09/2016 22:00:08,8,2.4318,2.2502,2.3456, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
24/09/2016 00:00:08,8,2.4316,2.2498,2.3454, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
24/09/2016 02:00:00,8,2.4368,2.2550,2.3506, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
24/09/2016 04:00:05,8,2.4457,2.2640,2.3596, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
24/09/2016 06:00:05,8,2.4613,2.2794,2.3751, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
24/09/2016 08:00:08,8,2.4645,2.2827,2.3783, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
24/09/2016 10:00:01,8,2.4616,2.2799,2.3754, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
24/09/2016 12:00:00,8,2.4541,2.2725,2.3679, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
24/09/2016 14:00:04,8,2.4496,2.2680,2.3634, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
24/09/2016 16:00:08,8,2.4429,2.2613,2.3568, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
24/09/2016 18:00:01,8,2.4326,2.2510,2.3465, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
24/09/2016 20:00:06,8,2.4278,2.2462,2.3417, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
24/09/2016 22:00:08,8,2.4318,2.2501,2.3456, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
25/09/2016 00:00:04,8,2.4344,2.2528,2.3483, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
25/09/2016 02:00:06,8,2.4514,2.2695,2.3652, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
25/09/2016 04:00:09,8,2.4690,2.2872,2.3828, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
25/09/2016 06:00:00,8,2.4817,2.2998,2.3955, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
25/09/2016 08:00:00,8,2.4968,2.3150,2.4106, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
25/09/2016 10:00:05,8,2.5050,2.3232,2.4188, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
25/09/2016 12:00:02,8,2.4984,2.3167,2.4122, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
25/09/2016 14:00:04,8,2.4892,2.3076,2.4031, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
25/09/2016 16:00:07,8,2.4827,2.3011,2.3966, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
25/09/2016 18:00:08,8,2.4763,2.2947,2.3902, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
25/09/2016 20:00:06,8,2.4660,2.2843,2.3798, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
25/09/2016 22:00:02,8,2.4522,2.2705,2.3660, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
26/09/2016 00:00:00,8,2.4406,2.2589,2.3544, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
26/09/2016 02:00:03,8,2.4345,2.2528,2.3484, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
26/09/2016 04:00:02,8,2.4330,2.2513,2.3468, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
26/09/2016 06:00:09,8,2.4379,2.2562,2.3518, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
26/09/2016 08:00:07,8,2.4477,2.2661,2.3616, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
26/09/2016 10:00:09,8,2.4692,2.2875,2.3831, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
26/09/2016 12:00:06,8,2.4764,2.2948,2.3903, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
26/09/2016 14:00:07,8,2.4743,2.2928,2.3883, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
26/09/2016 16:00:05,8,2.4657,2.2843,2.3797, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
