Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top)
13/06/2016 00:00:05,15,2.9872,1.7019,2.3473,12.8390,12.8305,37.1164,37.1161,7.5657,7.5905
13/06/2016 02:00:00,15,2.9921,1.7078,2.3527,12.8205,12.8139,37.1118,37.1119,7.5596,7.5716
13/06/2016 04:00:00,15,2.9950,1.7102,2.3553,12.8095,12.8048,37.1091,37.1090,7.5382,7.5537
13/06/2016 06:00:06,15,3.0040,1.7192,2.3644,12.7443,12.7265,37.1049,37.1048,7.5256,7.5286
13/06/2016 08:00:04,15,3.0119,1.7270,2.3723,12.6667,12.6626,37.1014,37.1014,7.5062,7.5111
13/06/2016 10:00:04,15,3.0256,1.7409,2.3860,12.6797,13.0853,37.0996,37.0993,7.4989,7.5374
13/06/2016 12:00:00,15,3.0246,1.7397,2.3849,12.7010,13.9825,37.0997,37.0952,7.5898,7.5589
13/06/2016 14:00:02,15,3.0300,1.7455,2.3905,12.7187,14.6805,37.1033,37.0919,7.7091,7.5676
13/06/2016 16:00:02,15,3.0235,1.7384,2.3837,12.7330,14.8458,37.1164,37.0930,7.7436,7.5777
13/06/2016 18:00:02,15,3.0228,1.7382,2.3832,12.7408,14.5905,37.1556,37.0946,7.6057,7.5979
13/06/2016 20:00:02,15,3.0148,1.7300,2.3752,12.7510,15.1316,37.1717,37.0948,7.5303,7.6350
13/06/2016 22:00:02,15,3.0048,1.7203,2.3653,12.7974,14.4955,37.1997,37.1040,7.4333,7.6191
14/06/2016 00:00:00,15,2.9958,1.7112,2.3562,12.8541,14.2670,37.2275,37.1142,7.2972,7.6297
14/06/2016 02:00:06,15,2.9894,1.7049,2.3499,12.9972,14.1109,37.2435,37.1221,7.1826,7.6406
14/06/2016 04:00:02,15,2.9803,1.6957,2.3407,13.2012,13.8930,37.2517,37.1324,7.1234,7.6338
14/06/2016 06:00:06,15,2.9737,1.6890,2.3341,13.3541,13.7299,37.2614,37.1465,7.1367,7.6031
14/06/2016 08:00:00,15,2.9701,1.6854,2.3305,13.3812,13.6589,37.2829,37.1583,7.1554,7.5606
14/06/2016 10:00:00,15,2.9659,1.6812,2.3263,13.4248,13.7319,37.2895,37.1598,7.1540,7.5658
14/06/2016 12:00:03,15,2.9577,1.6727,2.3179,13.4643,14.1049,37.2949,37.1146,7.2127,7.6410
14/06/2016 14:00:04,15,2.9522,1.6674,2.3126,13.4885,14.5698,37.3135,36.9949,7.2809,7.7409
14/06/2016 16:00:02,15,2.9437,1.6589,2.3041,13.5072,15.0098,37.3182,36.9006,7.3546,7.7989
14/06/2016 18:00:00,15,2.9341,1.6493,2.2945,13.4955,14.9294,37.3195,36.7561,7.2316,7.7997
14/06/2016 20:00:09,15,2.9275,1.6429,2.2879,13.4640,14.7707,37.3294,36.4409,7.0341,7.7694
14/06/2016 22:00:04,15,2.9218,1.6372,2.2822,13.4726,14.5615,37.3245,36.3185,6.9087,7.7468
15/06/2016 00:00:09,15,2.9126,1.6280,2.2731,13.5309,14.1617,37.3054,36.3693,6.8092,7.7197
15/06/2016 02:00:08,15,2.9045,1.6199,2.2650,13.5696,13.8707,37.3005,36.4897,6.6520,7.7204
15/06/2016 04:00:06,15,2.9063,1.6217,2.2667,13.5685,13.6781,37.3065,36.4945,6.4977,7.7162
15/06/2016 06:00:07,15,2.9072,1.6228,2.2678,13.5683,13.4718,37.3036,36.4451,6.3860,7.6909
15/06/2016 08:00:02,15,2.9200,1.6353,2.2804,13.5734,13.2607,37.2937,36.3903,6.3387,7.6635
