Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top)
16/04/2016 00:00:02,23,4.1750,1.7958,2.9630, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 02:00:09,23,4.1648,1.7857,2.9528, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 04:00:06,23,4.1553,1.7762,2.9433, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 06:00:05,23,4.1443,1.7652,2.9323, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 08:00:03,23,4.1344,1.7553,2.9224, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 10:00:07,23,4.1347,1.7554,2.9225, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 12:00:04,23,4.1549,1.7754,2.9425, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 14:00:07,23,4.1800,1.8003,2.9676, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 16:00:07,23,4.2021,1.8224,2.9896, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 18:00:08,23,4.2216,1.8419,3.0091, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 20:00:03,23,4.2344,1.8549,3.0221, NaN, NaN, NaN, NaN, NaN, NaN
16/04/2016 22:00:09,23,4.2457,1.8660,3.0333, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 00:00:07,23,4.2492,1.8696,3.0369, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 02:00:00,23,4.2453,1.8658,3.0331, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 04:00:00,23,4.2358,1.8564,3.0236, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 06:00:02,23,4.2288,1.8494,3.0166, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 08:00:08,23,4.2273,1.8479,3.0151, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 10:00:06,23,4.2282,1.8489,3.0160, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 12:00:08,23,4.2268,1.8472,3.0144, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 14:00:08,23,4.2448,1.8650,3.0323, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 16:00:01,23,4.2678,1.8880,3.0553, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 18:00:02,23,4.2731,1.8935,3.0608, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 20:00:05,23,4.2788,1.8992,3.0665, NaN, NaN, NaN, NaN, NaN, NaN
17/04/2016 22:00:09,23,4.2875,1.9078,3.0751, NaN, NaN, NaN, NaN, NaN, NaN
18/04/2016 00:00:02,23,4.2854,1.9057,3.0731, NaN, NaN, NaN, NaN, NaN, NaN
18/04/2016 02:00:05,23,4.2799,1.9003,3.0676, NaN, NaN, NaN, NaN, NaN, NaN
18/04/2016 04:00:01,23,4.2716,1.8921,3.0594, NaN, NaN, NaN, NaN, NaN, NaN
18/04/2016 06:00:08,23,4.2673,1.8876,3.0550, NaN, NaN, NaN, NaN, NaN, NaN
18/04/2016 08:00:07,23,4.2647,1.8851,3.0525, NaN, NaN, NaN, NaN, NaN, NaN
18/04/2016 10:00:01,23,4.2700,1.8904,3.0577, NaN, NaN, NaN, NaN, NaN, NaN
18/04/2016 12:00:09,23,4.2742,1.8945,3.0618, NaN, NaN, NaN, NaN, NaN, NaN
18/04/2016 14:00:01,23,4.2734,1.8938,3.0611, NaN, NaN, NaN, NaN, NaN, NaN
18/04/2016 16:00:08,23,4.2684,1.8889,3.0562, NaN, NaN, NaN, NaN, NaN, NaN
18/04/2016 18:00:02,23,4.2628,1.8834,3.0506, NaN, NaN, NaN, NaN, NaN, NaN
18/04/2016 20:00:04,23,4.2681,1.8887,3.0559, NaN, NaN, NaN, NaN, NaN, NaN
18/04/2016 22:00:06,23,4.2751,1.8956,3.0628, NaN, NaN, NaN, NaN, NaN, NaN
19/04/2016 00:00:02,23,4.2842,1.9048,3.0719, NaN, NaN, NaN, NaN, NaN, NaN
19/04/2016 02:00:02,23,4.2768,1.8973,3.0646, NaN, NaN, NaN, NaN, NaN, NaN
19/04/2016 04:00:01,23,4.2902,1.9107,3.0780, NaN, NaN, NaN, NaN, NaN, NaN
19/04/2016 06:00:08,23,4.2866,1.9073,3.0745, NaN, NaN, NaN, NaN, NaN, NaN
19/04/2016 08:00:09,23,4.2867,1.9074,3.0746, NaN, NaN, NaN, NaN, NaN, NaN
19/04/2016 10:00:03,23,4.2964,1.9171,3.0842, NaN, NaN, NaN, NaN, NaN, NaN
19/04/2016 12:00:09,23,4.2992,1.9198,3.0870, NaN, NaN, NaN, NaN, NaN, NaN
19/04/2016 14:00:08,23,4.2979,1.9185,3.0858, NaN, NaN, NaN, NaN, NaN, NaN
19/04/2016 16:00:01,23,4.3071,1.9271,3.0947, NaN, NaN, NaN, NaN, NaN, NaN
19/04/2016 18:00:04,23,4.2946,1.9152,3.0825, NaN, NaN, NaN, NaN, NaN, NaN
19/04/2016 20:00:06,23,4.2794,1.9001,3.0673, NaN, NaN, NaN, NaN, NaN, NaN
19/04/2016 22:00:02,23,4.2754,1.8961,3.0633, NaN, NaN, NaN, NaN, NaN, NaN
20/04/2016 00:00:05,23,4.2712,1.8920,3.0592, NaN, NaN, NaN, NaN, NaN, NaN
20/04/2016 02:00:04,23,4.2606,1.8814,3.0486, NaN, NaN, NaN, NaN, NaN, NaN
20/04/2016 04:00:03,23,4.2518,1.8725,3.0397, NaN, NaN, NaN, NaN, NaN, NaN
20/04/2016 06:00:04,23,4.2426,1.8633,3.0305, NaN, NaN, NaN, NaN, NaN, NaN
20/04/2016 08:00:03,23,4.2373,1.8581,3.0252, NaN, NaN, NaN, NaN, NaN, NaN
20/04/2016 10:00:08,23,4.2341,1.8548,3.0220, NaN, NaN, NaN, NaN, NaN, NaN
20/04/2016 12:00:04,23,4.2338,1.8545,3.0217, NaN, NaN, NaN, NaN, NaN, NaN
20/04/2016 14:00:03,23,4.2282,1.8489,3.0161, NaN, NaN, NaN, NaN, NaN, NaN
20/04/2016 16:00:00,23,4.2227,1.8434,3.0106, NaN, NaN, NaN, NaN, NaN, NaN
20/04/2016 18:00:06,23,4.2155,1.8362,3.0034, NaN, NaN, NaN, NaN, NaN, NaN
20/04/2016 20:00:04,23,4.2068,1.8276,2.9948, NaN, NaN, NaN, NaN, NaN, NaN
20/04/2016 22:00:06,23,4.1966,1.8175,2.9846, NaN, NaN, NaN, NaN, NaN, NaN
21/04/2016 00:00:00,23,4.1879,1.8087,2.9759, NaN, NaN, NaN, NaN, NaN, NaN
21/04/2016 02:00:06,23,4.1786,1.7995,2.9666, NaN, NaN, NaN, NaN, NaN, NaN
21/04/2016 04:00:02,23,4.1699,1.7908,2.9579, NaN, NaN, NaN, NaN, NaN, NaN
21/04/2016 06:00:08,23,4.1618,1.7826,2.9498, NaN, NaN, NaN, NaN, NaN, NaN
21/04/2016 08:00:00,23,4.1548,1.7756,2.9428, NaN, NaN, NaN, NaN, NaN, NaN
21/04/2016 10:00:06,23,4.1532,1.7739,2.9411, NaN, NaN, NaN, NaN, NaN, NaN
21/04/2016 12:00:02,23,4.1617,1.7823,2.9494, NaN, NaN, NaN, NaN, NaN, NaN
21/04/2016 14:00:05,23,4.1551,1.7758,2.9430, NaN, NaN, NaN, NaN, NaN, NaN
21/04/2016 16:00:08,23,4.1477,1.7686,2.9357, NaN, NaN, NaN, NaN, NaN, NaN
21/04/2016 18:00:00,23,4.1384,1.7594,2.9265, NaN, NaN, NaN, NaN, NaN, NaN
21/04/2016 20:00:04,23,4.1289,1.7497,2.9169, NaN, NaN, NaN, NaN, NaN, NaN
21/04/2016 22:00:06,23,4.1231,1.7439,2.9111, NaN, NaN, NaN, NaN, NaN, NaN
22/04/2016 00:00:07,23,4.1185,1.7394,2.9065, NaN, NaN, NaN, NaN, NaN, NaN
22/04/2016 02:00:06,23,4.1103,1.7311,2.8983, NaN, NaN, NaN, NaN, NaN, NaN
22/04/2016 04:00:04,23,4.1032,1.7240,2.8911, NaN, NaN, NaN, NaN, NaN, NaN
22/04/2016 06:00:01,23,4.0979,1.7186,2.8858, NaN, NaN, NaN, NaN, NaN, NaN
22/04/2016 08:00:07,23,4.0961,1.7169,2.8840, NaN, NaN, NaN, NaN, NaN, NaN
22/04/2016 10:00:03,23,4.1005,1.7212,2.8883, NaN, NaN, NaN, NaN, NaN, NaN
22/04/2016 12:00:02,23,4.1231,1.7436,2.9107, NaN, NaN, NaN, NaN, NaN, NaN
22/04/2016 14:00:04,23,4.1335,1.7540,2.9212, NaN, NaN, NaN, NaN, NaN, NaN
22/04/2016 16:00:07,23,4.1325,1.7531,2.9203, NaN, NaN, NaN, NaN, NaN, NaN
22/04/2016 18:00:03,23,4.1251,1.7458,2.9130, NaN, NaN, NaN, NaN, NaN, NaN
22/04/2016 20:00:05,23,4.1178,1.7385,2.9057, NaN, NaN, NaN, NaN, NaN, NaN
22/04/2016 22:00:06,23,4.1123,1.7330,2.9002, NaN, NaN, NaN, NaN, NaN, NaN
23/04/2016 00:00:06,23,4.1079,1.7286,2.8958, NaN, NaN, NaN, NaN, NaN, NaN
23/04/2016 02:00:05,23,4.1008,1.7217,2.8888, NaN, NaN, NaN, NaN, NaN, NaN
23/04/2016 04:00:03,23,4.0918,1.7128,2.8798, NaN, NaN, NaN, NaN, NaN, NaN
23/04/2016 06:00:01,23,4.0879,1.7087,2.8758, NaN, NaN, NaN, NaN, NaN, NaN
23/04/2016 08:00:09,23,4.1016,1.7224,2.8894, NaN, NaN, NaN, NaN, NaN, NaN
23/04/2016 10:00:04,23,4.1296,1.7502,2.9172, NaN, NaN, NaN, NaN, NaN, NaN
23/04/2016 12:00:06,23,4.1760,1.7961,2.9633, NaN, NaN, NaN, NaN, NaN, NaN
23/04/2016 14:00:08,23,4.2151,1.8353,3.0026, NaN, NaN, NaN, NaN, NaN, NaN
23/04/2016 16:00:04,23,4.2277,1.8481,3.0154, NaN, NaN, NaN, NaN, NaN, NaN
23/04/2016 18:00:01,23,4.2214,1.8421,3.0093, NaN, NaN, NaN, NaN, NaN, NaN
23/04/2016 20:00:05,23,4.2155,1.8362,3.0034, NaN, NaN, NaN, NaN, NaN, NaN
23/04/2016 22:00:06,23,4.2092,1.8300,2.9972, NaN, NaN, NaN, NaN, NaN, NaN
24/04/2016 00:00:05,23,4.2051,1.8258,2.9930, NaN, NaN, NaN, NaN, NaN, NaN
24/04/2016 02:00:03,23,4.2073,1.8279,2.9951, NaN, NaN, NaN, NaN, NaN, NaN
24/04/2016 04:00:08,23,4.2104,1.8310,2.9982, NaN, NaN, NaN, NaN, NaN, NaN
24/04/2016 06:00:03,23,4.2147,1.8352,3.0024, NaN, NaN, NaN, NaN, NaN, NaN
24/04/2016 08:00:02,23,4.2349,1.8554,3.0225, NaN, NaN, NaN, NaN, NaN, NaN
