Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top)
02/01/2017 00:00:05,1,1.1870,1.1870,1.1870,25.0128,25.1578,36.9478,36.9455,6.4982,6.7458
02/01/2017 02:00:00,1,1.1782,1.1782,1.1782,24.4564,24.4162,37.0295,37.0317,6.4770,6.4792
02/01/2017 04:00:02,1,1.1723,1.1723,1.1723,23.9013,23.8649,37.0992,37.1009,6.2854,6.2872
02/01/2017 06:00:02,1,1.1644,1.1644,1.1644,23.4393,23.4070,37.1652,37.1668,6.1003,6.1020
02/01/2017 08:00:04,1,1.1513,1.1513,1.1513,23.3720,23.5090,37.2085,37.2302,6.1457,6.1035
02/01/2017 10:00:09,1,1.1428,1.1428,1.1428,23.5354,25.1197,37.2127,37.3521,6.9635,6.2702
02/01/2017 12:00:04,1,1.1368,1.1368,1.1368,23.7407,27.8815,37.2175,37.3891,8.1529,6.3529
02/01/2017 14:00:02,1,1.1302,1.1302,1.1302,23.9253,29.1403,37.2370,37.4532,9.2505,6.3149
02/01/2017 16:00:07,1,1.1517,1.1517,1.1517,23.9436,25.1739,37.2864,37.4339,8.6631,6.4588
02/01/2017 18:00:04,1,1.1728,1.1728,1.1728,24.0343,24.6070,37.3350,37.4338,7.8437,6.9390
02/01/2017 20:00:07,1,1.1993,1.1993,1.1993,23.8957,23.9436,37.3450,37.3565,7.0898,7.0772
02/01/2017 22:00:07,1,1.2168,1.2168,1.2168,23.6483,23.6416,37.2951,37.2814,6.8199,6.9126
03/01/2017 00:00:03,1,1.2213,1.2213,1.2213,23.4642,23.4427,37.2332,37.2302,6.7030,6.7451
03/01/2017 02:00:09,1,1.2200,1.2200,1.2200,23.2851,23.2666,37.2043,37.2041,6.5938,6.6020
03/01/2017 04:00:07,1,1.2174,1.2174,1.2174,23.1069,23.0865,37.1922,37.1927,6.4372,6.4457
03/01/2017 06:00:05,1,1.2112,1.2112,1.2112,22.8278,22.7936,37.1844,37.1855,6.2882,6.2912
03/01/2017 08:00:07,1,1.1990,1.1990,1.1990,22.6303,22.6152,37.2008,37.2022,6.1385,6.1436
03/01/2017 10:00:09,1,1.1924,1.1924,1.1924,22.5562,22.5523,37.2209,37.2225,6.0164,6.0257
03/01/2017 12:00:07,1,1.1902,1.1902,1.1902,22.5932,22.6788,37.2288,37.2350,5.7050,6.0736
03/01/2017 14:00:01,1,1.1948,1.1948,1.1948,22.6817,23.2737,37.2484,37.2059,5.8296,6.2601
03/01/2017 16:00:03,1,1.2192,1.2192,1.2192,22.8707,22.9632,37.3043,37.1603,5.6759,6.4293
03/01/2017 18:00:03,1,1.2358,1.2358,1.2358,22.8617,22.5161,37.2601,37.0648,5.6412,6.4295
03/01/2017 20:00:08,1,1.2504,1.2504,1.2504,22.4265,22.4003,37.0737,37.0699,6.0354,6.0744
03/01/2017 22:00:07,1,1.2565,1.2565,1.2565,22.2417,22.2254,37.0358,37.0363,5.9689,5.9857
04/01/2017 00:00:09,1,1.2594,1.2594,1.2594,22.0954,22.0795,37.0289,37.0301,5.8733,5.8791
