Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top)
23/05/2017 00:00:01,4,1.2777,1.2486,1.2584,14.5618,14.5501,37.7351,37.7356,7.7148,7.7179
23/05/2017 02:00:04,4,1.2655,1.2364,1.2462,14.5202,14.5134,37.7207,37.7208,7.6885,7.6928
23/05/2017 04:00:04,4,1.2537,1.2246,1.2344,14.4895,14.4801,37.7095,37.7101,7.6629,7.6662
23/05/2017 06:00:02,4,1.2387,1.2096,1.2194,14.4246,14.4109,37.7097,37.7111,7.6524,7.6552
23/05/2017 08:00:09,4,1.2251,1.1959,1.2058,14.2983,14.2821,37.7242,37.7259,7.6658,7.6683
23/05/2017 10:00:03,4,1.2302,1.2009,1.2108,14.3965,14.4164,37.7453,37.7476,7.7103,7.7132
23/05/2017 12:00:09,4,1.2300,1.2006,1.2106,14.7495,14.7518,37.7700,37.7722,7.7683,7.7700
23/05/2017 14:00:09,4,1.2343,1.2051,1.2150,14.9847,14.9819,37.7990,37.8012,7.8190,7.8203
23/05/2017 16:00:03,4,1.2325,1.2033,1.2132,14.8699,14.8542,37.8268,37.8287,7.8461,7.8473
23/05/2017 18:00:02,4,1.2348,1.2056,1.2155,14.7375,14.7211,37.8450,37.8468,7.8573,7.8589
23/05/2017 20:00:08,4,1.2239,1.1948,1.2047,14.6108,14.5966,37.8618,37.8635,7.8675,7.8687
23/05/2017 22:00:00,4,1.2000,1.1709,1.1808,14.4823,14.4706,37.8843,37.8858,7.8960,7.8969
24/05/2017 00:00:03,4,1.1985,1.1695,1.1794,14.3724,14.3622,37.9034,37.9046,7.9234,7.9242
24/05/2017 02:00:07,4,1.2064,1.1776,1.1874,14.2814,14.2732,37.9205,37.9215,7.9513,7.9517
24/05/2017 04:00:02,4,1.2113,1.1823,1.1922,14.2067,14.1981,37.9387,37.9397,7.9815,7.9822
24/05/2017 06:00:08,4,1.2707,1.2415,1.2512,14.1305,14.1197,37.9404,37.9411,7.9790,7.9811
24/05/2017 08:00:01,4,1.2997,1.2704,1.2802,14.0521,14.0419,37.9320,37.9328,7.9762,7.9777
24/05/2017 10:00:04,4,1.3358,1.3067,1.3164,14.1681,14.1925,37.9023,37.9024,7.9809,7.9821
24/05/2017 12:00:00,4,1.3624,1.3331,1.3428,14.4014,14.4492,37.8368,37.8355,7.9708,7.9715
24/05/2017 14:00:00,4,1.3689,1.3396,1.3493,14.8037,14.8134,37.7329,37.7309,7.9355,7.9358
24/05/2017 16:00:00,4,1.3640,1.3348,1.3445,14.8837,14.8731,37.5975,37.5951,7.8917,7.8920
24/05/2017 18:00:05,4,1.3542,1.3251,1.3348,14.7827,14.7502,37.4455,37.4432,7.8531,7.8534
24/05/2017 20:00:03,4,1.3415,1.3124,1.3221,14.5463,14.5147,37.3075,37.3056,7.8184,7.8189
24/05/2017 22:00:04,4,1.3236,1.2944,1.3042,14.3210,14.2925,37.2150,37.2140,7.7843,7.7851
25/05/2017 00:00:03,4,1.3113,1.2821,1.2919,14.1975,14.1914,37.1597,37.1585,7.7490,7.7516
25/05/2017 02:00:06,4,1.3030,1.2739,1.2837,14.1734,14.1663,37.1278,37.1275,7.7155,7.7185
25/05/2017 04:00:03,4,1.2943,1.2652,1.2750,14.1380,14.1293,37.1134,37.1136,7.6870,7.6906
25/05/2017 06:00:04,4,1.2854,1.2563,1.2661,14.1014,14.0926,37.1077,37.1082,7.6612,7.6650
25/05/2017 08:00:06,4,1.2829,1.2538,1.2636,14.0708,14.0657,37.1076,37.1085,7.6375,7.6425
25/05/2017 10:00:05,4,1.2949,1.2657,1.2755,14.2060,14.3638,37.1113,37.1150,7.6188,7.6398
25/05/2017 12:00:00,4,1.3196,1.2906,1.3003,14.3702,15.6090,37.1097,36.6940,7.5675,7.8366
25/05/2017 14:00:04,4,1.3167,1.2875,1.2973,14.4323,16.7659,37.1136,36.5837,7.4824,7.8596
25/05/2017 16:00:03,4,1.3151,1.2861,1.2958,14.4489,16.3148,37.1418,36.5074,7.3621,7.8210
25/05/2017 18:00:05,4,1.3045,1.2755,1.2852,14.5921,15.6414,37.1371,36.5462,7.3229,7.7787
25/05/2017 20:00:00,4,1.2933,1.2643,1.2741,14.8429,15.3084,37.0268,36.5687,7.3857,7.7611
25/05/2017 22:00:03,4,1.2828,1.2538,1.2636,14.9864,15.1037,36.9421,36.5787,7.4200,7.7483
26/05/2017 00:00:03,4,1.2730,1.2440,1.2538,15.0687,14.9426,36.8677,36.6101,7.4597,7.7313
26/05/2017 02:00:02,4,1.2623,1.2333,1.2431,15.0952,14.8449,36.8206,36.6312,7.4755,7.7225
26/05/2017 04:00:09,4,1.2546,1.2256,1.2354,15.0931,14.7933,36.8039,36.6438,7.4544,7.7148
26/05/2017 06:00:01,4,1.2474,1.2184,1.2282,15.0567,14.7491,36.7887,36.6622,7.5012,7.6954
26/05/2017 08:00:04,4,1.2411,1.2120,1.2219,14.8970,14.7699,36.7401,36.6993,7.5912,7.6712
26/05/2017 10:00:09,4,1.2397,1.2105,1.2204,14.9005,15.0874,36.7545,36.7481,7.5781,7.6843
26/05/2017 12:00:03,4,1.2635,1.2346,1.2444,14.9409,16.0433,36.8095,36.7698,7.4306,7.7128
26/05/2017 14:00:01,4,1.2672,1.2383,1.2481,15.0105,17.4993,36.8596,36.7802,7.3364,7.7204
26/05/2017 16:00:06,4,1.2563,1.2273,1.2371,15.0699,17.6550,36.8843,36.7782,7.2237,7.7169
26/05/2017 18:00:02,4,1.2478,1.2187,1.2286,15.1301,16.7759,36.9120,36.6833,7.1677,7.7303
26/05/2017 20:00:05,4,1.2364,1.2073,1.2172,15.2609,15.8793,36.9507,36.2592,7.2702,7.7691
26/05/2017 22:00:08,4,1.2244,1.1953,1.2052,15.3316,15.4949,37.0074,36.7601,7.3191,7.7256
27/05/2017 00:00:06,4,1.2119,1.1828,1.1927,15.3867,15.5355,37.0502,36.9992,7.3099,7.6384
27/05/2017 02:00:02,4,1.2000,1.1710,1.1809,15.3878,15.3632,37.0885,37.0894,7.4674,7.4673
27/05/2017 04:00:09,4,1.1892,1.1602,1.1702,15.2570,15.2311,37.1747,37.1761,7.3918,7.3925
27/05/2017 06:00:08,4,1.1815,1.1525,1.1624,14.9002,14.8692,37.2632,37.2647,7.3587,7.3593
27/05/2017 08:00:07,4,1.1748,1.1458,1.1557,14.4083,14.3801,37.4002,37.4032,7.3237,7.3238
27/05/2017 10:00:03,4,1.1723,1.1433,1.1532,14.2767,14.2869,37.6770,37.6839,7.2598,7.2603
27/05/2017 12:00:06,4,1.1849,1.1558,1.1657,14.5443,14.5966,37.9602,37.9719,7.2100,7.2168
27/05/2017 14:00:08,4,1.1925,1.1633,1.1732,14.8091,15.4249,38.1231,38.1923,7.1562,7.2388
27/05/2017 16:00:07,4,1.1980,1.1689,1.1788,14.9335,15.1758,38.2674,38.3262,7.0917,7.1710
27/05/2017 18:00:09,4,1.1926,1.1636,1.1735,14.8974,14.8829,38.5210,38.5248,7.0768,7.0793
27/05/2017 20:00:06,4,1.1781,1.1491,1.1590,14.7155,14.6985,38.8142,38.8199,7.0663,7.0686
27/05/2017 22:00:01,4,1.1617,1.1327,1.1427,14.5170,14.5013,39.1688,39.1747,7.1498,7.1521
28/05/2017 00:00:04,4,1.1573,1.1283,1.1382,14.3953,14.3814,39.3882,39.3918,7.2394,7.2422
28/05/2017 02:00:01,4,1.1592,1.1303,1.1402,14.3278,14.3127,39.4754,39.4773,7.2960,7.2997
28/05/2017 04:00:02,4,1.1614,1.1327,1.1425,14.2212,14.2061,39.5089,39.5101,7.4044,7.4069
28/05/2017 06:00:02,4,1.1616,1.1327,1.1426,14.1221,14.1048,39.5235,39.5251,7.4605,7.4653
28/05/2017 08:00:02,4,1.1601,1.1312,1.1410,14.0397,14.0242,39.5453,39.5468,7.4839,7.4886
28/05/2017 10:00:05,4,1.1672,1.1381,1.1480,13.9957,13.9822,39.5673,39.5674,7.5002,7.5069
28/05/2017 12:00:01,4,1.1831,1.1538,1.1637,13.9787,13.8994,39.5795,39.1991,7.4974,7.5882
28/05/2017 14:00:03,4,1.2019,1.1729,1.1827,14.0050,13.9949,39.5840,38.6721,7.4655,7.6967
28/05/2017 16:00:00,4,1.2048,1.1758,1.1856,14.0369,13.9467,39.5878,39.1292,7.4308,7.6750
28/05/2017 18:00:00,4,1.1991,1.1700,1.1799,14.0544,13.8943,39.5893,39.2849,7.3877,7.6375
28/05/2017 20:00:05,4,1.1903,1.1612,1.1711,14.0663,13.8434,39.5826,39.3268,7.3434,7.6417
28/05/2017 22:00:06,4,1.1790,1.1499,1.1598,14.0757,13.7860,39.5749,39.3228,7.3090,7.6587
29/05/2017 00:00:08,4,1.1686,1.1395,1.1495,14.0731,13.7517,39.5635,39.3564,7.2946,7.6562
29/05/2017 02:00:05,4,1.1598,1.1308,1.1407,13.7776,13.7510,39.5320,39.5329,7.4454,7.4469
29/05/2017 04:00:09,4,1.1502,1.1211,1.1310,13.4852,13.4582,39.5946,39.5956,7.4431,7.4440
29/05/2017 06:00:09,4,1.1437,1.1147,1.1246,13.2396,13.2140,39.6340,39.6345,7.4193,7.4200
29/05/2017 08:00:09,4,1.1384,1.1094,1.1193,13.0441,13.0190,39.6526,39.6530,7.3910,7.3916
29/05/2017 10:00:03,4,1.1331,1.1041,1.1140,13.0355,13.0445,39.6639,39.6650,7.3672,7.3701
29/05/2017 12:00:04,4,1.1342,1.1053,1.1152,13.0395,13.0382,39.6743,39.6752,7.3415,7.3438
29/05/2017 14:00:02,4,1.1340,1.1050,1.1149,13.1093,13.1156,39.6835,39.6851,7.3187,7.3240
29/05/2017 16:00:07,4,1.1406,1.1116,1.1214,13.2341,13.5835,39.6894,39.7012,7.2888,7.3275
29/05/2017 18:00:01,4,1.1334,1.1044,1.1143,13.3058,13.4456,39.6966,39.7057,7.2464,7.2776
29/05/2017 20:00:04,4,1.1296,1.1007,1.1106,13.2756,13.2483,39.7106,39.7112,7.1958,7.1964
29/05/2017 22:00:05,4,1.1184,1.0894,1.0993,13.0511,13.0235,39.7329,39.7337,7.1368,7.1366
30/05/2017 00:00:06,4,1.1099,1.0809,1.0908,12.8436,12.8181,39.7709,39.7717,7.0607,7.0603
30/05/2017 02:00:01,4,1.1029,1.0739,1.0838,12.6543,12.6278,39.8131,39.8139,6.9815,6.9812
30/05/2017 04:00:03,4,1.0951,1.0662,1.0761,12.4288,12.4019,39.8480,39.8487,6.9203,6.9202
30/05/2017 06:00:03,4,1.0895,1.0606,1.0705,12.1873,12.1618,39.8716,39.8720,6.8712,6.8712
30/05/2017 08:00:01,4,1.0853,1.0564,1.0663,11.9885,11.9689,39.8881,39.8885,6.8264,6.8264
30/05/2017 10:00:08,4,1.0829,1.0539,1.0638,12.1559,12.2745,39.9049,39.9082,6.7939,6.7990
30/05/2017 12:00:06,4,1.0842,1.0552,1.0652,12.6032,13.4067,39.9260,39.9459,6.7561,6.7961
30/05/2017 14:00:03,4,1.0838,1.0548,1.0647,12.9712,14.4194,39.9531,39.9732,6.7019,6.7631
30/05/2017 16:00:01,4,1.0795,1.0504,1.0603,13.3000,14.4492,39.9793,39.9793,6.6647,6.7385
30/05/2017 18:00:09,4,1.0838,1.0548,1.0647,13.4976,13.7501,39.9869,39.9759,6.6454,6.7069
30/05/2017 20:00:06,4,1.0809,1.0519,1.0618,13.5822,13.5582,39.9731,39.9731,6.6462,6.6471
30/05/2017 22:00:06,4,1.0756,1.0467,1.0566,13.4162,13.3899,39.9534,39.9533,6.6316,6.6324
31/05/2017 00:00:06,4,1.0685,1.0396,1.0495,13.2088,13.1820,39.9253,39.9250,6.6257,6.6267
