Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top)
19/09/2016 00:00:01,4,1.0309,1.0196,1.0265,13.7476,13.7240,19.0512,19.0756,8.0206,8.0179
19/09/2016 02:00:00,4,1.0393,1.0279,1.0349,13.7358,13.7088,21.7208,21.7339,7.8681,7.8682
19/09/2016 04:00:06,4,1.0282,1.0168,1.0237,13.4127,13.3815,22.4803,22.4844,7.9148,7.9164
19/09/2016 06:00:01,4,1.0170,1.0056,1.0126,13.1294,13.0983,22.6688,22.6707,7.9417,7.9428
19/09/2016 08:00:05,4,1.0117,1.0002,1.0072,12.9166,12.8893,22.8337,22.8362,7.9210,7.9215
19/09/2016 10:00:06,4,1.0077,0.9962,1.0032,12.7607,12.6989,22.9781,22.9663,7.8838,7.8884
19/09/2016 12:00:05,4,1.0051,0.9935,1.0006,12.7965,12.8100,22.9497,22.9291,7.8845,7.9172
19/09/2016 14:00:04,4,1.0030,0.9914,0.9986,13.3178,13.3330,23.3236,23.3345,7.9020,7.9038
19/09/2016 16:00:02,4,0.9964,0.9847,0.9920,13.7968,13.8005,23.7823,23.7911,7.9516,7.9548
19/09/2016 18:00:05,4,0.9887,0.9770,0.9842,13.7270,13.7160,24.1161,24.1215,7.9958,7.9979
19/09/2016 20:00:08,4,0.9800,0.9682,0.9755,13.5881,13.5614,24.3710,24.3721,8.0069,8.0076
19/09/2016 22:00:00,4,0.9740,0.9622,0.9695,13.3205,13.2954,24.5250,24.5243,7.9930,7.9935
20/09/2016 00:00:05,4,0.9800,0.9682,0.9755,13.1012,12.4492,24.6535,23.9572,7.9720,8.0000
20/09/2016 02:00:04,4,0.9891,0.9773,0.9846,13.1339,11.3430,24.8223,23.3470,7.9171,8.0233
20/09/2016 04:00:06,4,0.9788,0.9669,0.9742,13.2901,10.6868,25.0936,23.1452,7.8417,7.9843
20/09/2016 06:00:04,4,0.9746,0.9627,0.9700,13.3819,9.9279,25.3776,23.1378,7.7671,7.9145
20/09/2016 08:00:06,4,0.9679,0.9560,0.9633,13.4108,10.5133,25.6036,23.3387,7.7038,7.8520
20/09/2016 10:00:04,4,0.9590,0.9469,0.9543,13.4171,11.1552,25.7323,23.5106,7.5935,7.9175
20/09/2016 12:00:05,4,0.9541,0.9420,0.9495,13.5315,13.1975,25.8320,22.9194,7.4628,8.0421
20/09/2016 14:00:04,4,0.9485,0.9364,0.9439,13.6596,14.6498,25.8784,22.3890,7.3500,8.1425
20/09/2016 16:00:06,4,0.9424,0.9303,0.9378,13.8443,16.2752,25.9054,22.0011,7.2477,8.2468
20/09/2016 18:00:02,4,0.9362,0.9240,0.9316,13.8701,15.0748,25.8783,21.8477,7.1404,8.2696
20/09/2016 20:00:09,4,0.9344,0.9222,0.9297,13.8785,14.0329,25.8258,21.4575,7.0341,8.2648
20/09/2016 22:00:07,4,0.9449,0.9329,0.9403,13.8686,13.3765,25.8575,19.8353,6.9038,8.3548
21/09/2016 00:00:08,4,0.9595,0.9476,0.9550,13.8412,12.7618,25.9415,18.9822,6.7819,8.4140
21/09/2016 02:00:01,4,0.9816,0.9699,0.9771,13.8088,12.2905,26.0004,18.8432,6.7440,8.4093
21/09/2016 04:00:04,4,0.9813,0.9696,0.9768,13.7810,11.6975,26.0417,18.7957,6.7123,8.4015
21/09/2016 06:00:03,4,0.9771,0.9652,0.9725,13.7664,10.9526,26.0519,18.6864,6.6168,8.4232
21/09/2016 08:00:06,4,0.9729,0.9609,0.9683,13.7652,10.8133,26.0453,18.7137,6.5294,8.4401
21/09/2016 10:00:08,4,0.9688,0.9569,0.9642,13.7590,11.3807,26.0691,18.5559,6.4139,8.5157
21/09/2016 12:00:03,4,0.9616,0.9496,0.9570,13.7931,12.5261,26.0933,18.3750,6.3192,8.5767
21/09/2016 14:00:07,4,0.9550,0.9429,0.9504,13.9967,15.5438,26.1212,17.9812,6.2286,8.6661
21/09/2016 16:00:00,4,0.9513,0.9392,0.9467,14.1723,17.4418,26.1300,17.4371,6.1587,8.7406
21/09/2016 18:00:02,4,0.9468,0.9346,0.9422,14.2334,16.6480,26.1023,17.4828,6.1023,8.7479
21/09/2016 20:00:06,4,0.9456,0.9335,0.9410,14.2396,15.3694,26.1090,17.6147,6.0361,8.7462
21/09/2016 22:00:01,4,0.9689,0.9569,0.9643,14.2099,14.2045,26.1569,16.8290,5.9670,8.7974
22/09/2016 00:00:08,4,0.9959,0.9843,0.9914,14.1743,13.5458,26.1969,16.4986,5.9739,8.7973
22/09/2016 02:00:04,4,1.0122,1.0007,1.0077,14.3900,13.2581,26.0729,17.3893,6.5057,8.7502
22/09/2016 04:00:09,4,1.0420,1.0306,1.0377,14.5738,11.7795,26.0848,19.4655,6.5962,8.6181
22/09/2016 06:00:02,4,1.0507,1.0392,1.0463,14.7638,11.3468,26.0224,20.5616,6.6602,8.5791
22/09/2016 08:00:01,4,1.0441,1.0326,1.0397,14.7988,12.3564,26.1683,20.2947,6.5718,8.6301
22/09/2016 10:00:05,4,1.0422,1.0307,1.0377,14.9433,14.2159,26.2905,20.6594,6.5215,8.6663
22/09/2016 12:00:03,4,1.0410,1.0295,1.0366,15.1885,16.0814,26.3433,21.2477,6.5245,8.6651
22/09/2016 14:00:04,4,1.0404,1.0288,1.0361,15.4280,17.1614,26.3350,23.7343,6.4488,8.1490
22/09/2016 16:00:01,4,1.0434,1.0317,1.0390,16.4639,17.0503,25.9600,26.0193,7.0375,7.3100
22/09/2016 18:00:07,4,1.0297,1.0180,1.0253,16.9139,16.8850,26.7715,26.7790,7.1659,7.1653
22/09/2016 20:00:05,4,1.0178,1.0060,1.0133,16.5805,16.5478,27.3100,27.3148,7.1059,7.1056
22/09/2016 22:00:02,4,1.0417,1.0301,1.0373,16.2420,16.2105,27.9506,27.9578,7.0275,7.0272
23/09/2016 00:00:06,4,1.0605,1.0491,1.0561,16.0059,15.9728,28.4968,28.5030,7.0584,7.0610
23/09/2016 02:00:09,4,1.0764,1.0651,1.0720,15.7378,15.7016,28.7241,28.7250,7.2124,7.2162
23/09/2016 04:00:05,4,1.0990,1.0877,1.0946,15.4419,15.3982,28.4575,28.4477,7.4040,7.4102
23/09/2016 06:00:02,4,1.1095,1.0983,1.1051,15.1891,15.1447,27.9215,27.9125,7.5400,7.5433
23/09/2016 08:00:06,4,1.1075,1.0962,1.1031,15.0074,14.9828,27.5253,27.5129,7.6015,7.6058
23/09/2016 10:00:04,4,1.0973,1.0859,1.0929,15.1502,15.2745,27.0732,26.8532,7.6676,7.7278
23/09/2016 12:00:05,4,1.0922,1.0807,1.0878,15.3902,15.9672,27.2255,26.1824,7.5142,7.8420
23/09/2016 14:00:04,4,1.0879,1.0764,1.0835,15.7082,16.5354,27.3950,26.1417,7.3503,7.8610
23/09/2016 16:00:01,4,1.0855,1.0739,1.0812,16.1931,16.5450,27.1456,26.1132,7.4044,7.8805
