Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top)
24/04/2016 00:00:05,12,3.2283,2.1708,2.5588, NaN, NaN, NaN, NaN, NaN, NaN
24/04/2016 02:00:03,12,3.2305,2.1730,2.5610, NaN, NaN, NaN, NaN, NaN, NaN
24/04/2016 04:00:08,12,3.2303,2.1729,2.5609, NaN, NaN, NaN, NaN, NaN, NaN
24/04/2016 06:00:03,12,3.2338,2.1764,2.5644, NaN, NaN, NaN, NaN, NaN, NaN
24/04/2016 08:00:02,12,3.2483,2.1909,2.5789, NaN, NaN, NaN, NaN, NaN, NaN
24/04/2016 10:00:00,12,3.2808,2.2235,2.6115, NaN, NaN, NaN, NaN, NaN, NaN
24/04/2016 12:00:07,12,3.3229,2.2656,2.6537, NaN, NaN, NaN, NaN, NaN, NaN
24/04/2016 14:00:02,12,3.3637,2.3064,2.6944, NaN, NaN, NaN, NaN, NaN, NaN
24/04/2016 16:00:05,12,3.3847,2.3273,2.7152, NaN, NaN, NaN, NaN, NaN, NaN
24/04/2016 18:00:00,12,3.3782,2.3206,2.7086, NaN, NaN, NaN, NaN, NaN, NaN
24/04/2016 20:00:08,12,3.3681,2.3106,2.6986, NaN, NaN, NaN, NaN, NaN, NaN
24/04/2016 22:00:06,12,3.3554,2.2979,2.6859, NaN, NaN, NaN, NaN, NaN, NaN
25/04/2016 00:00:03,12,3.3500,2.2926,2.6805, NaN, NaN, NaN, NaN, NaN, NaN
25/04/2016 02:00:00,12,3.3425,2.2850,2.6730, NaN, NaN, NaN, NaN, NaN, NaN
25/04/2016 04:00:02,12,3.3364,2.2789,2.6669, NaN, NaN, NaN, NaN, NaN, NaN
25/04/2016 06:00:02,12,3.3320,2.2745,2.6625, NaN, NaN, NaN, NaN, NaN, NaN
25/04/2016 08:00:01,12,3.3309,2.2735,2.6615, NaN, NaN, NaN, NaN, NaN, NaN
25/04/2016 10:00:02,12,3.3578,2.3006,2.6885, NaN, NaN, NaN, NaN, NaN, NaN
25/04/2016 12:00:02,12,3.3979,2.3407,2.7286, NaN, NaN, NaN, NaN, NaN, NaN
25/04/2016 14:00:03,12,3.4343,2.3770,2.7649, NaN, NaN, NaN, NaN, NaN, NaN
25/04/2016 16:00:02,12,3.4418,2.3844,2.7723, NaN, NaN, NaN, NaN, NaN, NaN
25/04/2016 18:00:03,12,3.4352,2.3777,2.7656, NaN, NaN, NaN, NaN, NaN, NaN
25/04/2016 20:00:04,12,3.4259,2.3685,2.7564, NaN, NaN, NaN, NaN, NaN, NaN
25/04/2016 22:00:05,12,3.4303,2.3729,2.7607, NaN, NaN, NaN, NaN, NaN, NaN
26/04/2016 00:00:06,12,3.4302,2.3728,2.7606, NaN, NaN, NaN, NaN, NaN, NaN
26/04/2016 02:00:04,12,3.4246,2.3673,2.7550, NaN, NaN, NaN, NaN, NaN, NaN
26/04/2016 04:00:07,12,3.4278,2.3704,2.7582, NaN, NaN, NaN, NaN, NaN, NaN
26/04/2016 06:00:02,12,3.4292,2.3719,2.7596, NaN, NaN, NaN, NaN, NaN, NaN
26/04/2016 08:00:08,12,3.4352,2.3779,2.7656, NaN, NaN, NaN, NaN, NaN, NaN
26/04/2016 10:00:05,12,3.4566,2.3993,2.7871, NaN, NaN, NaN, NaN, NaN, NaN
26/04/2016 12:00:05,12,3.4977,2.4406,2.8283, NaN, NaN, NaN, NaN, NaN, NaN
26/04/2016 14:00:04,12,3.5434,2.4862,2.8740, NaN, NaN, NaN, NaN, NaN, NaN
26/04/2016 16:00:01,12,3.5489,2.4917,2.8794, NaN, NaN, NaN, NaN, NaN, NaN
26/04/2016 18:00:03,12,3.5216,2.4644,2.8521, NaN, NaN, NaN, NaN, NaN, NaN
26/04/2016 20:00:05,12,3.4930,2.4356,2.8235, NaN, NaN, NaN, NaN, NaN, NaN
26/04/2016 22:00:03,12,3.4656,2.4082,2.7961, NaN, NaN, NaN, NaN, NaN, NaN
27/04/2016 00:00:06,12,3.4483,2.3909,2.7788, NaN, NaN, NaN, NaN, NaN, NaN
