Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top)
07/01/2017 00:00:04,2,1.1490,1.0799,1.1145,26.3591,26.3341,37.4376,37.4387,5.9065,5.9136
07/01/2017 02:00:02,2,1.1406,1.0714,1.1060,26.0426,26.0122,37.4221,37.4228,5.8091,5.8175
07/01/2017 04:00:07,2,1.1286,1.0595,1.0940,25.6611,25.6292,37.3863,37.3871,5.7999,5.8098
07/01/2017 06:00:06,2,1.1141,1.0450,1.0795,25.3327,25.3067,37.3606,37.3617,5.8152,5.8272
07/01/2017 08:00:02,2,1.1041,1.0349,1.0695,25.2899,25.3054,37.3548,37.3585,6.0060,6.0077
07/01/2017 10:00:05,2,1.0906,1.0217,1.0562,25.5739,26.0313,37.3605,37.3779,6.7956,6.3523
07/01/2017 12:00:02,2,1.0823,1.0133,1.0478,25.7619,28.1208,37.3661,37.5046,8.3655,6.5338
07/01/2017 14:00:08,2,1.0817,1.0128,1.0472,25.9474,31.1963,37.3675,37.6612,9.8340,6.6100
07/01/2017 16:00:04,2,1.0755,1.0065,1.0410,26.1436,32.7634,37.3650,37.8322,11.2020,6.5316
07/01/2017 18:00:04,2,1.1097,1.0404,1.0750,26.4050,31.7843,37.3812,37.7196,10.5896,6.5558
07/01/2017 20:00:06,2,1.1433,1.0741,1.1087,26.6011,30.5209,37.4071,37.6298,8.9246,6.4495
07/01/2017 22:00:03,2,1.1772,1.1082,1.1427,26.9214,29.9217,37.4279,37.5967,7.3045,6.4975
08/01/2017 00:00:04,2,1.1833,1.1141,1.1487,27.5042,29.3797,37.4554,37.5331,5.9622,6.5845
08/01/2017 02:00:02,2,1.1719,1.1029,1.1374,27.3686,28.5502,37.4464,37.3778,4.9271,6.6081
08/01/2017 04:00:08,2,1.1612,1.0922,1.1267,27.1846,27.9513,37.4333,37.2767,4.1390,6.6330
08/01/2017 06:00:05,2,1.1476,1.0785,1.1130,26.9858,27.4909,37.4041,37.2624,4.1109,6.5229
08/01/2017 08:00:06,2,1.1335,1.0645,1.0990,26.7553,27.2305,37.3759,37.2728,4.2534,6.3893
08/01/2017 10:00:05,2,1.1230,1.0540,1.0885,26.6007,27.8975,37.3735,37.3012,5.0497,6.4343
08/01/2017 12:00:04,2,1.1144,1.0453,1.0798,26.5210,28.1179,37.3638,37.3176,5.5929,6.4516
08/01/2017 14:00:01,2,1.1058,1.0366,1.0712,26.5093,27.5850,37.3447,37.3106,5.0963,6.5136
