Cell,Age,Oxy,Sal,Period
1,3.5482,214.2055,35.9863,2016-18
2,2.2342,214.8782,35.9874,2016-18
3,1.3905,215.4738,35.9919,2016-18
4,0.3227,216.2503,35.9972,2016-18
5,0.1654,216.4103,35.9982,2016-18
6,0.0811,216.5739,35.9993,2016-18
7,0.0072,216.5871,36.0000,2016-18
8,0.0326,216.5753,35.9999,2016-18
9,0.0211,216.5772,35.9998,2016-18
10,0.0707,216.5473,35.9998,2016-18
11,0.1368,216.5084,35.9996,2016-18
12,0.0876,216.5261,35.9995,2016-18
13,0.1348,216.4895,36.0004,2016-18
14,0.4230,216.1058,36.0018,2016-18
15,0.5037,216.2104,35.9986,2016-18
16,0.4605,216.2919,35.9991,2016-18
17,0.3973,216.3480,35.9999,2016-18
18,0.5567,216.2314,36.0001,2016-18
19,0.2581,216.4047,36.0004,2016-18
20,0.5886,216.0555,36.0012,2016-18
21,0.9596,215.7796,35.9982,2016-18
22,1.2058,215.3777,35.9993,2016-18
23,1.2762,215.2467,36.0014,2016-18
24,1.2775,215.1864,36.0007,2016-18
25,1.2751,215.1590,36.0010,2016-18
26,1.3168,215.1685,36.0000,2016-18
27,1.4405,215.1345,36.0040,2016-18
28,1.3340,215.2029,36.0027,2016-18
29,2.0343,214.9509,36.0019,2016-18
30,1.6286,215.2636,35.9984,2016-18
31,1.2357,215.6098,36.0018,2016-18
32,0.3139,216.3722,36.0003,2016-18
33,0.7158,216.0457,35.9998,2016-18
34,1.4798,215.4349,35.9964,2016-18
35,2.6229,214.6600,35.9895,2016-18
36,2.6240,214.7780,35.9879,2016-18
37,3.3974,214.2422,35.9827,2016-18
38,1.6911,216.0211,35.9888,2016-18
39,3.6570,214.6606,35.9832,2016-18
40,1.7909,215.9081,35.9896,2016-18
41,4.2408,214.5580,35.9793,2016-18
42,1.6405,215.9011,35.9896,2016-18
43,6.4425,213.7116,35.9610,2016-18
44,4.5420,213.6583,35.9713,2016-18
45,3.3363,214.2027,35.9792,2016-18
46,2.0501,215.0243,35.9876,2016-18
47,5.3561,213.4613,35.9670,2016-18
48,0.9140,215.8368,35.9940,2016-18
49,0.3227,216.3520,35.9967,2016-18
50,0.2035,216.5419,35.9980,2016-18
51,0.1052,216.5633,35.9991,2016-18
52,0.1530,216.5204,35.9992,2016-18
53,0.3101,216.4370,35.9973,2016-18
54,0.2260,216.4588,35.9986,2016-18
55,0.8318,215.6716,35.9998,2016-18
56,1.4972,214.9215,35.9986,2016-18
57,0.7885,215.9229,35.9985,2016-18
58,0.9530,215.8309,35.9996,2016-18
59,0.9742,215.8881,35.9993,2016-18
60,1.2787,215.5406,36.0034,2016-18
61,1.4421,215.3331,36.0031,2016-18
62,1.7849,215.1668,36.0032,2016-18
63,1.7890,215.0930,36.0033,2016-18
64,2.1666,214.6939,36.0051,2016-18
65,2.3418,214.4200,36.0076,2016-18
