Cell,Age,Oxy,Sal,Period
1,19.0005,243.7393,35.0355,2016-18
2,17.7550,242.7883,35.0720,2016-18
3,15.8740,241.1311,35.1031,2016-18
4,15.4419,240.4308,35.1372,2016-18
5,15.6934,240.4032,35.1509,2016-18
6,15.6439,240.1399,35.2006,2016-18
7,13.2629,237.9551,35.2268,2016-18
8,15.5055,239.8618,35.2317,2016-18
9,12.5017,237.0584,35.2610,2016-18
10,16.2713,239.6676,35.2604,2016-18
11,18.6564,241.0553,35.2588,2016-18
12,17.2196,239.8034,35.2647,2016-18
13,18.0514,240.0647,35.2684,2016-18
14,19.1881,240.9785,35.2640,2016-18
15,18.4134,240.2099,35.2783,2016-18
16,17.0446,239.0969,35.2982,2016-18
17,15.1951,237.5344,35.3164,2016-18
18,15.8399,238.1373,35.3138,2016-18
19,15.0048,237.3177,35.3242,2016-18
20,14.6938,237.0140,35.3334,2016-18
21,13.6899,236.2967,35.3443,2016-18
22,12.3370,235.3227,35.3599,2016-18
23,11.4569,234.6646,35.3720,2016-18
24,10.4581,233.8088,35.3821,2016-18
25,9.6185,233.0108,35.3881,2016-18
26,8.9162,232.2162,35.3899,2016-18
27,8.5528,231.6698,35.3841,2016-18
28,8.6972,231.7357,35.3747,2016-18
29,9.9522,232.7184,35.3788,2016-18
30,8.8690,231.6408,35.3592,2016-18
31,10.6390,233.1167,35.3488,2016-18
32,9.9185,232.2850,35.3448,2016-18
33,10.7416,232.4495,35.3194,2016-18
34,11.4339,233.0177,35.3159,2016-18
35,11.7738,232.9794,35.3004,2016-18
36,13.0340,233.9164,35.2923,2016-18
37,13.8200,234.6636,35.2917,2016-18
38,14.6815,235.4567,35.2581,2016-18
39,15.4380,236.1352,35.2518,2016-18
40,16.4037,237.0581,35.2233,2016-18
41,17.0555,237.5834,35.2176,2016-18
42,16.5938,237.2986,35.2074,2016-18
43,17.5929,238.1219,35.1993,2016-18
44,19.5418,244.1395,35.0198,2016-18
45,18.6640,243.4718,35.0585,2016-18
46,18.1402,243.0533,35.0729,2016-18
47,19.4035,244.1371,35.0252,2016-18
48,18.2157,242.7967,35.1249,2016-18
49,17.8634,242.3965,35.1325,2016-18
50,16.8948,241.0992,35.2076,2016-18
51,16.2356,240.5114,35.2240,2016-18
52,17.7457,241.0072,35.2473,2016-18
53,19.1203,241.6814,35.2384,2016-18
54,19.1313,241.4315,35.2504,2016-18
55,19.5320,241.3623,35.2551,2016-18
56,19.5623,241.2333,35.2556,2016-18
57,18.9780,240.7548,35.2672,2016-18
58,17.5504,239.6262,35.2900,2016-18
59,17.3685,239.4742,35.2942,2016-18
60,15.7795,238.0984,35.3211,2016-18
61,17.6230,239.7863,35.2851,2016-18
62,16.4865,238.8111,35.3078,2016-18
63,14.8239,237.4588,35.3317,2016-18
64,13.4996,236.5365,35.3486,2016-18
65,12.6681,235.9290,35.3615,2016-18
66,11.7143,235.1276,35.3748,2016-18
67,10.7991,234.2652,35.3852,2016-18
68,10.0799,233.4743,35.3916,2016-18
69,10.0378,233.2253,35.3874,2016-18
70,10.8478,233.9337,35.3752,2016-18
71,11.1233,233.7923,35.3577,2016-18
72,11.3774,233.7582,35.3388,2016-18
73,11.4526,234.4302,35.3651,2016-18
74,12.1072,234.0413,35.3236,2016-18
75,12.5529,234.4883,35.3169,2016-18
76,13.4594,234.8498,35.3069,2016-18
77,13.2344,234.4163,35.3010,2016-18
78,14.3671,235.3062,35.2875,2016-18
79,15.8396,236.5524,35.2576,2016-18
80,16.4050,237.0640,35.2468,2016-18
81,17.3141,237.8103,35.2237,2016-18
82,18.0282,238.5930,35.1960,2016-18
83,17.7841,238.2611,35.2137,2016-18
84,18.3786,238.8195,35.1949,2016-18
85,17.8923,238.6618,35.1928,2016-18
86,18.4456,239.2146,35.1859,2016-18
87,19.7305,244.6208,35.0115,2016-18
88,19.1356,243.8504,35.0529,2016-18
89,18.7366,243.5329,35.0671,2016-18
90,19.3647,244.3737,35.0246,2016-18
91,19.7254,244.8049,35.0108,2016-18
92,18.4854,243.2210,35.0997,2016-18
93,18.8364,243.0576,35.1393,2016-18
94,18.8679,242.6002,35.1720,2016-18
95,17.9587,241.8198,35.1940,2016-18
96,18.8909,243.4555,35.1054,2016-18
97,19.6103,243.6808,35.1208,2016-18
98,19.2101,242.0415,35.2196,2016-18
99,20.1007,242.0188,35.2343,2016-18
100,20.6474,242.7237,35.2085,2016-18
101,20.1393,241.8219,35.2374,2016-18
102,19.3803,241.1547,35.2539,2016-18
103,18.3907,240.3987,35.2703,2016-18
104,19.5727,241.3949,35.2434,2016-18
105,18.4412,240.5510,35.2623,2016-18
106,17.9501,240.1407,35.2733,2016-18
107,16.0705,238.6108,35.3108,2016-18
108,18.0379,240.3176,35.2650,2016-18
109,17.0840,239.5338,35.2887,2016-18
110,14.6912,237.6408,35.3322,2016-18
111,13.8120,236.9806,35.3462,2016-18
112,12.8702,236.2150,35.3599,2016-18
113,11.9340,235.3734,35.3716,2016-18
114,10.8682,234.2893,35.3846,2016-18
115,11.2953,234.6185,35.3775,2016-18
116,11.8837,235.1086,35.3677,2016-18
117,12.1131,234.8508,35.3378,2016-18
118,12.5497,235.2049,35.3237,2016-18
119,11.9937,234.6241,35.3301,2016-18
120,12.5487,235.3455,35.3425,2016-18
121,13.0901,235.6617,35.3269,2016-18
122,12.9257,234.9562,35.3173,2016-18
123,12.6678,235.6639,35.3494,2016-18
124,12.9655,235.8127,35.3359,2016-18
125,14.3381,235.7834,35.2945,2016-18
126,14.1411,235.4867,35.2951,2016-18
127,15.2445,236.2739,35.2759,2016-18
128,15.8671,236.8072,35.2642,2016-18
129,16.5855,237.3360,35.2474,2016-18
130,17.1177,237.8038,35.2358,2016-18
131,18.6488,239.1250,35.1899,2016-18
132,18.7711,239.5540,35.1820,2016-18
133,18.4339,238.8417,35.2025,2016-18
134,17.9401,238.5412,35.2159,2016-18
135,18.0374,239.1830,35.1915,2016-18
136,18.6191,239.6574,35.1827,2016-18
137,18.9114,239.8344,35.1800,2016-18
138,20.1907,244.5309,35.0153,2016-18
139,19.4545,244.0080,35.0549,2016-18
140,19.6108,243.9593,35.0862,2016-18
141,20.6354,244.8125,35.0051,2016-18
142,20.0976,244.4068,35.0337,2016-18
143,19.4247,244.9109,35.0220,2016-18
144,19.9897,245.3785,35.0028,2016-18
145,20.4629,245.1658,34.9994,2016-18
146,21.3171,244.7930,35.1098,2016-18
147,21.2991,244.3282,35.1372,2016-18
148,20.7614,243.7417,35.1563,2016-18
149,20.9613,243.3638,35.1816,2016-18
150,21.5703,245.1172,35.0956,2016-18
151,20.8007,242.4831,35.2139,2016-18
152,21.3318,243.1632,35.1869,2016-18
153,20.3874,242.1031,35.2179,2016-18
154,19.1906,241.1089,35.2456,2016-18
155,19.9036,241.7623,35.2212,2016-18
156,18.6597,240.8304,35.2491,2016-18
157,17.0840,239.6295,35.2836,2016-18
158,15.6963,238.5242,35.3125,2016-18
159,18.3727,240.7501,35.2468,2016-18
160,15.6963,238.5805,35.3074,2016-18
161,14.7481,237.7643,35.3283,2016-18
162,14.7479,237.7643,35.3250,2016-18
163,13.7749,236.9333,35.3430,2016-18
164,13.9406,237.0333,35.3362,2016-18
165,12.7643,236.0232,35.3561,2016-18
166,13.3244,236.3433,35.3428,2016-18
167,13.4180,236.3799,35.3344,2016-18
168,14.1662,236.4432,35.2966,2016-18
169,14.1423,236.1183,35.2972,2016-18
170,14.9120,236.9143,35.2828,2016-18
171,15.0895,236.6142,35.2828,2016-18
172,13.6634,236.3042,35.3216,2016-18
173,14.0881,236.5581,35.3074,2016-18
174,14.7470,237.0416,35.2926,2016-18
175,15.2491,236.4786,35.2774,2016-18
176,13.9263,236.7753,35.3206,2016-18
177,14.2393,236.8903,35.3109,2016-18
178,16.8318,237.7375,35.2430,2016-18
179,17.3472,238.2574,35.2288,2016-18
180,16.5573,237.6578,35.2494,2016-18
181,17.3558,238.3830,35.2287,2016-18
182,17.7989,238.7159,35.2170,2016-18
183,19.0788,239.6423,35.1826,2016-18
184,19.2211,239.9776,35.1780,2016-18
185,19.0067,239.4827,35.1893,2016-18
186,18.5826,239.2295,35.2002,2016-18
187,19.0675,239.6530,35.1890,2016-18
188,18.5869,239.5609,35.1973,2016-18
189,18.0338,239.7235,35.1931,2016-18
190,18.6586,240.1040,35.1825,2016-18
191,18.8867,240.2633,35.1799,2016-18
192,19.2511,240.3659,35.1770,2016-18
193,20.7929,244.8284,35.0546,2016-18
194,20.9128,244.8752,35.0686,2016-18
195,22.0191,245.7004,35.0757,2016-18
196,20.8546,245.0114,35.0080,2016-18
197,21.2056,245.1519,35.0414,2016-18
198,20.6328,245.3544,34.9994,2016-18
199,20.0816,245.8193,35.0020,2016-18
200,20.3925,245.9547,34.9943,2016-18
201,20.8978,246.4100,34.9828,2016-18
202,22.3431,245.6396,35.0998,2016-18
203,22.2383,245.1985,35.1145,2016-18
204,22.0931,244.8246,35.1285,2016-18
205,21.8262,244.1603,35.1491,2016-18
206,21.6740,243.7596,35.1565,2016-18
207,22.2041,246.1133,35.0815,2016-18
208,22.3085,245.9250,35.0886,2016-18
209,21.1029,242.8680,35.1863,2016-18
210,21.4287,243.5672,35.1503,2016-18
211,20.5946,242.4936,35.1895,2016-18
212,19.3481,241.4460,35.2255,2016-18
213,20.0487,242.1698,35.1938,2016-18
214,18.5103,240.9513,35.2367,2016-18
215,16.9183,239.7086,35.2744,2016-18
216,17.6147,240.2804,35.2570,2016-18
217,15.9882,238.8617,35.2960,2016-18
218,17.1697,240.0303,35.2601,2016-18
219,16.3378,239.1942,35.2844,2016-18
220,15.0508,238.0325,35.3095,2016-18
221,16.3216,239.1945,35.2783,2016-18
222,15.4738,238.3669,35.2992,2016-18
223,14.3073,237.2224,35.3243,2016-18
224,15.5208,238.4125,35.2923,2016-18
225,14.6857,237.5437,35.3119,2016-18
226,14.7555,237.5736,35.3038,2016-18
227,16.2188,237.9708,35.2531,2016-18
228,16.4670,237.8990,35.2508,2016-18
229,15.9262,237.9484,35.2593,2016-18
230,16.9581,238.2370,35.2379,2016-18
231,14.7718,237.3211,35.2967,2016-18
232,15.6195,237.9483,35.2698,2016-18
233,15.1244,237.9126,35.2912,2016-18
234,17.8032,238.9888,35.2142,2016-18
235,17.3742,238.8183,35.2235,2016-18
236,17.7068,239.1684,35.2124,2016-18
237,18.3529,239.9454,35.1942,2016-18
238,18.4699,240.1294,35.1911,2016-18
239,19.2752,240.0444,35.1816,2016-18
240,19.2740,240.2125,35.1814,2016-18
241,19.2856,240.4153,35.1797,2016-18
242,19.1692,239.9595,35.1861,2016-18
243,19.0429,240.0486,35.1884,2016-18
244,19.1524,240.1457,35.1862,2016-18
245,18.6840,240.5458,35.1852,2016-18
246,17.8834,240.1851,35.1977,2016-18
247,18.5088,240.4904,35.1862,2016-18
248,18.6244,240.6042,35.1850,2016-18
249,19.0504,240.7193,35.1805,2016-18
250,19.1986,240.5758,35.1812,2016-18
251,19.0890,240.7249,35.1825,2016-18
252,21.9659,245.7482,35.0546,2016-18
253,22.0376,245.9098,35.0645,2016-18
254,22.0647,246.3663,35.0698,2016-18
255,22.1383,246.2867,35.0750,2016-18
256,20.8495,245.2173,35.0113,2016-18
257,21.6385,245.4374,35.0417,2016-18
258,20.6916,245.3904,35.0110,2016-18
259,21.0634,246.7472,34.9812,2016-18
260,20.7584,246.0250,35.0049,2016-18
261,20.6910,246.5737,34.9792,2016-18
262,22.0962,245.9315,35.0809,2016-18
263,22.0325,245.4577,35.0946,2016-18
264,22.1365,245.1571,35.1107,2016-18
265,21.8094,244.5964,35.1223,2016-18
266,21.6168,244.2668,35.1225,2016-18
267,21.4502,244.1889,35.1089,2016-18
268,21.9598,246.3918,35.0707,2016-18
269,21.8765,246.1677,35.0693,2016-18
270,21.0120,243.2082,35.1509,2016-18
