Cell,Age,Oxy,Sal,Hypoxia,Period
19337,76.2922,6.5694,31.6556,8.9286,2016-18
19338,76.3021,6.5482,31.6625,7.1429,2016-18
19339,76.1817,6.6074,31.6343,5.3571,2016-18
19646,76.3212,6.6026,31.6570,5.3571,2016-18
19647,76.3584,6.5760,31.6698,7.1429,2016-18
19648,76.2585,6.6156,31.6469,5.3571,2016-18
19922,76.3327,6.6366,31.6543,5.3571,2016-18
19923,76.3986,6.6033,31.6734,5.3571,2016-18
19924,76.3247,6.6309,31.6570,5.3571,2016-18
20181,76.3319,6.6717,31.6487,5.3571,2016-18
20182,76.4372,6.6255,31.6771,5.3571,2016-18
20183,76.3932,6.6406,31.6679,3.5714,2016-18
20420,76.3298,6.7130,31.6413,3.5714,2016-18
20421,76.4881,6.6477,31.6820,1.7857,2016-18
20422,76.5058,6.6392,31.6884,3.5714,2016-18
20434,159.0114,7.0047,42.0142,53.5714,2016-18
20649,76.3431,6.7533,31.6356,1.7857,2016-18
20650,76.5508,6.6662,31.6880,1.7857,2016-18
20651,76.6529,6.6195,31.7154,1.7857,2016-18
20663,159.0299,7.3235,42.0152,53.5714,2016-18
20681,156.0044,13.1557,40.9857,57.1429,2016-18
20843,76.3554,10.9410,31.6027,42.8571,2016-18
20844,75.8106,10.1934,31.4737,42.8571,2016-18
20845,75.4797,10.5210,31.3912,46.4286,2016-18
20853,76.4557,6.7718,31.6523,1.7857,2016-18
20854,76.6816,6.6695,31.7078,1.7857,2016-18
20855,76.8578,6.5838,31.7536,1.7857,2016-18
20867,159.0480,7.6682,42.0162,53.5714,2016-18
20881,159.1417,6.8699,41.9121,51.7857,2016-18
20882,155.8462,13.0191,40.9408,55.3571,2016-18
21022,75.3872,9.7203,31.4038,33.9286,2016-18
21023,75.1402,6.3505,31.3721,28.5714,2016-18
21024,75.2723,9.4189,31.3270,46.4286,2016-18
21029,76.7688,6.7418,31.7156,1.7857,2016-18
21030,77.0150,6.6332,31.7724,1.7857,2016-18
21031,77.1950,6.5303,31.8186,0.0000,2016-18
21044,159.0622,8.1692,42.0147,55.3571,2016-18
21052,159.0916,6.9148,41.8971,53.5714,2016-18
21053,155.7108,13.0532,40.8999,55.3571,2016-18
21169,75.5664,6.2784,31.4203,26.7857,2016-18
21170,75.6687,6.0501,31.4946,23.2143,2016-18
21171,75.0884,8.5807,31.2746,44.6429,2016-18
21177,77.3378,6.6245,31.8257,0.0000,2016-18
21178,77.6366,6.5064,31.9021,0.0000,2016-18
21179,77.7916,6.4721,31.9430,0.0000,2016-18
21185,159.0323,8.6282,42.0018,53.5714,2016-18
21191,159.0750,7.0282,41.8765,51.7857,2016-18
21192,155.5554,12.9177,40.8542,53.5714,2016-18
21294,75.8397,6.2900,31.4872,19.6429,2016-18
21295,76.0790,6.0866,31.6041,17.8571,2016-18
21296,74.8675,8.0296,31.2161,44.6429,2016-18
21302,78.0996,6.5528,31.9850,0.0000,2016-18
21303,78.1980,6.5925,31.9962,0.0000,2016-18
21304,77.8952,6.5506,31.9475,0.0000,2016-18
21305,77.8902,6.5398,31.9524,0.0000,2016-18
21306,77.8307,6.5319,31.9425,3.5714,2016-18
21311,158.8239,9.2029,41.9717,51.7857,2016-18
21312,159.0225,7.3294,41.8368,51.7857,2016-18
21313,155.3479,12.4884,40.7970,53.5714,2016-18
21410,75.8334,6.3836,31.4685,17.8571,2016-18
21411,76.4182,6.1240,31.6902,17.8571,2016-18
21412,74.5494,7.4792,31.1318,41.0714,2016-18
21418,78.1748,6.5177,32.0064,0.0000,2016-18
21419,78.2369,6.5432,32.0121,0.0000,2016-18
21420,77.9585,6.5545,31.9616,0.0000,2016-18
21421,78.3049,6.6259,32.0094,0.0000,2016-18
21422,78.3507,6.5596,32.0280,0.0000,2016-18
21423,77.8986,6.5702,31.9532,1.7857,2016-18
21424,77.6695,6.6022,31.9005,3.5714,2016-18
21425,77.6748,6.5557,31.9064,3.5714,2016-18
21426,77.4904,6.6301,31.8554,3.5714,2016-18
21429,158.7275,9.8102,41.9264,51.7857,2016-18
21430,158.9207,7.8691,41.7918,53.5714,2016-18
21431,155.0616,11.7484,40.7229,53.5714,2016-18
21518,76.0095,6.4402,31.5050,14.2857,2016-18
21519,76.6238,6.1922,31.7286,16.0714,2016-18
21520,74.1431,6.9335,31.0238,46.4286,2016-18
21525,78.2053,6.4845,32.0216,0.0000,2016-18
21526,78.3147,6.4813,32.0380,0.0000,2016-18
21527,78.0342,6.5436,31.9859,1.7857,2016-18
21528,78.4390,6.5179,32.0486,0.0000,2016-18
21529,77.9922,6.5652,31.9803,3.5714,2016-18
21530,78.3799,6.6544,32.0160,0.0000,2016-18
21531,78.4282,6.5837,32.0344,0.0000,2016-18
21532,78.5235,6.5491,32.0520,0.0000,2016-18
21533,77.6889,6.6201,31.9098,3.5714,2016-18
21534,77.4983,6.6107,31.8659,5.3571,2016-18
21535,77.6564,6.5143,31.9102,3.5714,2016-18
21536,77.4115,6.5480,31.8552,5.3571,2016-18
21538,158.5824,9.0587,41.7994,53.5714,2016-18
21539,158.4583,9.1903,41.7547,53.5714,2016-18
21540,154.7097,10.9046,40.6381,53.5714,2016-18
21607,76.9600,6.3264,31.7750,10.7143,2016-18
21608,76.8179,6.2567,31.7663,12.5000,2016-18
21609,73.8479,6.6254,30.9378,50.0000,2016-18
21614,78.4321,6.6730,32.0196,0.0000,2016-18
21615,78.5708,6.5697,32.0523,0.0000,2016-18
21616,77.6445,6.4600,31.9179,5.3571,2016-18
21617,77.3420,6.4306,31.8589,5.3571,2016-18
21619,158.3183,9.2137,41.7088,53.5714,2016-18
21620,154.2500,10.1801,40.5466,53.5714,2016-18
21657,77.4820,6.3056,31.9086,8.9286,2016-18
21658,77.0658,6.2781,31.8218,8.9286,2016-18
21659,73.4411,6.1860,30.8309,50.0000,2016-18
21664,78.4922,6.6913,32.0236,0.0000,2016-18
21665,78.6208,6.5917,32.0521,0.0000,2016-18
21666,77.6131,6.3915,31.9238,7.1429,2016-18
21667,77.2197,6.3400,31.8456,7.1429,2016-18
21668,79.7028,7.8862,31.8165,53.5714,2016-18
21669,158.1590,9.1442,41.6599,53.5714,2016-18
21670,153.8942,9.6016,40.4597,53.5714,2016-18
21687,72.8542,5.6170,30.6781,53.5714,2016-18
21692,78.5819,6.7014,32.0333,0.0000,2016-18
21693,78.7222,6.5863,32.0607,0.0000,2016-18
21694,79.6871,7.5457,31.8029,53.5714,2016-18
21695,157.9081,8.8404,41.5870,53.5714,2016-18
