"","grid.cell","pred_FCI","FCI.se","grade"
"1",1,60.5279792264688,1.8039001962253,"B"
"2",2,60.5350807181563,1.80428555986953,"B"
"3",3,60.5479234933414,1.80499647496622,"B"
"4",4,60.5655274815006,1.80600019816108,"B"
"5",5,60.5711463365004,1.80632767791039,"B"
"6",6,60.5721572467772,1.80638696094784,"B"
"7",7,60.578726274231,1.80677489928585,"B"
"8",8,60.5708155583526,1.80630830416953,"B"
"9",9,60.580402756047,1.80687465696163,"B"
"10",10,60.5748422106164,1.80654495592209,"B"
"11",11,60.5734075146137,1.80646043454628,"B"
"12",12,60.5769953871284,1.80667222501297,"B"
"13",13,60.5784315931931,1.80675739612038,"B"
"14",14,60.5759094273938,1.80660797349323,"B"
"15",15,60.5807713238088,1.80689662926967,"B"
"16",16,60.5872830827371,1.80728726571377,"B"
"17",17,60.5938627176085,1.8076866539694,"B"
"18",18,60.5933632591231,1.80765617158414,"B"
"19",19,60.5970276366425,1.80788044135704,"B"
"20",20,60.5990095022627,1.80800234433349,"B"
"21",21,60.6023275025798,1.80820738651037,"B"
"22",22,60.6064841197761,1.80846593962495,"B"
"23",23,60.6098464539394,1.80867645923567,"B"
"24",24,60.612467984012,1.80884144847243,"B"
"25",25,60.6142353755325,1.80895310293863,"B"
"26",26,60.6148495210821,1.80899198089764,"B"
"27",27,60.6139934690716,1.80893780051133,"B"
"28",28,60.6121146131693,1.80881916509201,"B"
"29",29,60.6120216267962,1.80881330367528,"B"
"30",30,60.608861566344,1.80861466709392,"B"
"31",31,60.606539822566,1.80846941723579,"B"
"32",32,60.6056486851548,1.8084138225921,"B"
"33",33,60.6012705872723,1.808141942663,"B"
"34",34,60.6004364084058,1.80809037623081,"B"
"35",35,60.5978239506027,1.80792937074832,"B"
"36",36,60.5947323181175,1.80773979108136,"B"
"37",37,60.593770219832,1.80768100670594,"B"
"38",38,60.5880586767711,1.80733410027775,"B"
"39",39,60.5863969041004,1.8072338334644,"B"
"40",40,60.5807713238088,1.80689662926967,"B"
"41",41,60.5793525558353,1.8068121298928,"B"
"42",42,60.576645633554,1.80665151760652,"B"
"43",43,60.5750813853379,1.8065590680606,"B"
"44",44,60.5201687915874,1.80348273482421,"B"
"45",45,60.5256396026639,1.80377444455874,"B"
"46",46,60.5307744249486,1.80405121977365,"B"
"47",47,60.5193724738274,1.80344054756976,"B"
"48",48,60.5433454521057,1.80474098963867,"B"
"49",49,60.5529281690443,1.80527838700579,"B"
"50",50,60.5595332895396,1.80565463447395,"B"
"51",51,60.5645735671709,1.80594494328604,"B"
"52",52,60.5703929441872,1.80628356890649,"B"
"53",53,60.5672525460816,1.8061003731266,"B"
"54",54,60.5706318066114,1.8062975469405,"B"
"55",55,60.5729294168286,1.80643231842402,"B"
"56",56,60.5733339567404,1.80645610711282,"B"
"57",57,60.5768849347592,1.80666568416498,"B"
"58",58,60.5850496127477,1.80715276187859,"B"
"59",59,60.5876523913773,1.80730955841564,"B"
"60",60,60.5947508226405,1.80774092269613,"B"
