Cell,Age,Oxy,Sal,Hypoxia,Period
1,6.1839,7.5168,35.5008,0.0000,2016-18
2,5.4173,7.4945,35.5004,0.0000,2016-18
3,4.8259,7.4785,35.5004,0.0000,2016-18
4,2.5308,7.4135,35.5007,0.0000,2016-18
5,1.1882,7.3754,35.5006,0.0000,2016-18
6,0.6313,7.3591,35.5008,0.0000,2016-18
7,0.3965,7.3539,35.5005,0.0000,2016-18
8,0.4058,7.3511,35.5010,0.0000,2016-18
9,0.6117,7.3568,35.5020,0.0000,2016-18
10,0.9222,7.3625,35.5034,0.0000,2016-18
11,1.3495,7.3743,35.5055,0.0000,2016-18
12,1.2534,7.3734,35.5055,0.0000,2016-18
13,1.7730,7.3890,35.5080,0.0000,2016-18
14,2.0698,7.3977,35.5091,0.0000,2016-18
15,2.5400,7.4138,35.5110,0.0000,2016-18
16,3.0760,7.4332,35.5137,0.0000,2016-18
17,3.1303,7.4379,35.5135,0.0000,2016-18
18,4.1969,7.4661,35.5168,0.0000,2016-18
19,4.0291,7.4653,35.5160,0.0000,2016-18
20,4.7835,7.4824,35.5168,0.0000,2016-18
21,5.6217,7.4995,35.5136,0.0000,2016-18
22,6.2075,7.5131,35.5126,0.0000,2016-18
23,6.3864,7.5182,35.5122,0.0000,2016-18
24,6.3985,7.5182,35.5128,0.0000,2016-18
25,6.1572,7.5115,35.5125,0.0000,2016-18
26,5.1743,7.4855,35.5116,0.0000,2016-18
27,4.4783,7.4714,35.5103,0.0000,2016-18
28,6.3224,7.5312,35.5119,0.0000,2016-18
29,8.1036,7.5876,35.5149,0.0000,2016-18
30,5.6623,7.5150,35.5096,0.0000,2016-18
31,7.7325,7.5901,35.5117,0.0000,2016-18
32,5.8474,7.5282,35.5098,0.0000,2016-18
33,6.0620,7.5388,35.5122,0.0000,2016-18
34,6.8514,7.5657,35.5136,0.0000,2016-18
35,4.8108,7.4968,35.5099,0.0000,2016-18
36,5.7822,7.5126,35.5060,0.0000,2016-18
37,7.7170,7.5755,35.5069,0.0000,2016-18
38,7.1090,7.5564,35.5031,0.0000,2016-18
39,8.7503,7.6099,35.5024,0.0000,2016-18
40,7.8174,7.5830,35.4970,0.0000,2016-18
41,10.3313,7.6624,35.4961,0.0000,2016-18
42,8.2138,7.5895,35.4888,0.0000,2016-18
43,11.3811,7.6876,35.4831,0.0000,2016-18
44,6.5114,7.5264,35.5000,0.0000,2016-18
45,4.5925,7.4683,35.5001,0.0000,2016-18
46,4.1097,7.4553,35.4997,0.0000,2016-18
47,8.0093,7.5707,35.5002,0.0000,2016-18
48,2.4907,7.4094,35.5008,0.0000,2016-18
49,1.7140,7.3884,35.5007,0.0000,2016-18
50,0.6618,7.3571,35.5007,0.0000,2016-18
51,0.4991,7.3533,35.5013,0.0000,2016-18
52,1.0284,7.3651,35.5035,0.0000,2016-18
53,1.3436,7.3737,35.5046,0.0000,2016-18
54,1.6841,7.3846,35.5065,0.0000,2016-18
55,2.2218,7.4014,35.5083,0.0000,2016-18
56,3.2028,7.4326,35.5112,0.0000,2016-18
57,3.1915,7.4338,35.5126,0.0000,2016-18
58,3.8691,7.4559,35.5156,0.0000,2016-18
59,4.7877,7.4758,35.5152,0.0000,2016-18
60,5.7490,7.5005,35.5158,0.0000,2016-18
61,5.5738,7.4897,35.5147,0.0000,2016-18
62,6.4302,7.5165,35.5168,0.0000,2016-18
63,6.9057,7.5290,35.5167,0.0000,2016-18
64,7.9358,7.5580,35.5151,0.0000,2016-18
65,8.4965,7.5765,35.5157,0.0000,2016-18
66,8.7634,7.5860,35.5168,0.0000,2016-18
67,8.7959,7.5898,35.5163,0.0000,2016-18
68,8.7632,7.5915,35.5184,0.0000,2016-18
69,9.1239,7.6135,35.5169,0.0000,2016-18
70,9.6848,7.6444,35.5170,0.0000,2016-18
71,9.4069,7.6382,35.5103,0.0000,2016-18
72,8.7315,7.6279,35.5117,0.0000,2016-18
73,10.3921,7.6645,35.5136,0.0000,2016-18
74,8.5577,7.6272,35.5143,0.0000,2016-18
75,9.1349,7.6478,35.5150,0.0000,2016-18
76,9.7685,7.6605,35.5132,0.0000,2016-18
77,8.6059,7.6164,35.5112,0.0000,2016-18
78,9.4576,7.6414,35.5091,0.0000,2016-18
79,10.2832,7.6727,35.5046,0.0000,2016-18
80,10.6619,7.6896,35.5042,0.0000,2016-18
81,10.4817,7.6868,35.5046,0.0000,2016-18
82,11.1814,7.7043,35.4967,0.0000,2016-18
83,10.8190,7.7043,35.5062,0.0000,2016-18
84,10.5330,7.7030,35.5115,0.0000,2016-18
85,11.2644,7.6911,35.4841,0.0000,2016-18
86,11.4137,7.7149,35.4957,0.0000,2016-18
87,6.2411,7.5196,35.5014,0.0000,2016-18
88,3.5507,7.4360,35.5006,0.0000,2016-18
89,3.2033,7.4273,35.5003,0.0000,2016-18
90,8.1071,7.5742,35.5004,0.0000,2016-18
91,6.7045,7.5341,35.5015,0.0000,2016-18
92,2.4656,7.4069,35.5004,0.0000,2016-18
93,1.6368,7.3845,35.5010,0.0000,2016-18
94,1.2330,7.3712,35.5019,0.0000,2016-18
95,0.8949,7.3618,35.5014,0.0000,2016-18
96,1.9333,7.3904,35.5013,0.0000,2016-18
97,1.4856,7.3784,35.5011,0.0000,2016-18
98,1.5460,7.3791,35.5047,0.0000,2016-18
99,2.2799,7.4015,35.5075,0.0000,2016-18
