Cell,Age,Oxy,Sal,Hypoxia,Period
1,19.2053,6.9829,36.3117,0.0000,2016-18
2,15.6391,6.9776,36.2564,0.0000,2016-18
3,5.3479,6.9777,36.0909,0.0000,2016-18
4,1.2826,6.9772,36.0203,0.0000,2016-18
5,0.4036,6.9775,36.0041,0.0000,2016-18
6,0.9432,6.9757,36.0062,0.0000,2016-18
7,1.6861,6.9747,36.0096,0.0000,2016-18
8,2.8826,6.9757,36.0160,0.0000,2016-18
9,2.8210,6.9795,36.0153,0.0000,2016-18
10,3.5482,6.9803,36.0196,0.0000,2016-18
11,4.2038,6.9875,36.0211,0.0000,2016-18
12,3.9390,6.9847,36.0195,0.0000,2016-18
13,6.0910,6.9799,36.0259,0.0000,2016-18
14,6.6280,6.9834,36.0287,0.0000,2016-18
15,8.0483,6.9817,36.0320,0.0000,2016-18
16,8.8789,6.9843,36.0299,0.0000,2016-18
17,9.4248,6.9890,36.0260,0.0000,2016-18
18,9.8601,6.9974,36.0291,0.0000,2016-18
19,6.7439,6.9854,36.0176,0.0000,2016-18
20,7.4121,6.9847,36.0193,0.0000,2016-18
21,7.2120,6.9897,36.0183,0.0000,2016-18
22,8.0507,6.9955,36.0197,0.0000,2016-18
23,9.2982,7.0009,36.0215,0.0000,2016-18
24,10.7777,7.0071,36.0257,0.0000,2016-18
25,12.2474,7.0140,36.0296,0.0000,2016-18
26,13.4606,7.0200,36.0330,0.0000,2016-18
27,14.4551,7.0231,36.0370,0.0000,2016-18
28,16.6165,7.0355,36.0440,0.0000,2016-18
29,20.0457,7.0566,36.0536,0.0000,2016-18
30,16.1275,7.0304,36.0441,0.0000,2016-18
31,21.1041,7.0513,36.0617,0.0000,2016-18
32,17.9342,7.0351,36.0513,0.0000,2016-18
33,18.6723,7.0378,36.0524,0.0000,2016-18
34,20.3808,7.0501,36.0575,0.0000,2016-18
35,15.7189,6.9973,36.0519,0.0000,2016-18
36,15.3184,6.9873,36.0557,0.0000,2016-18
37,21.0948,7.0082,36.0788,0.0000,2016-18
38,16.4923,7.0054,36.0623,0.0000,2016-18
39,22.8139,7.0247,36.0871,0.0000,2016-18
40,24.5486,7.0342,36.0882,0.0000,2016-18
41,28.4317,7.0458,36.1016,0.0000,2016-18
42,22.5329,7.0295,36.0686,0.0000,2016-18
43,30.0524,7.0487,36.0888,0.0000,2016-18
44,19.8112,6.9823,36.3220,0.0000,2016-18
45,15.3769,6.9653,36.2582,0.0000,2016-18
46,13.2409,6.9698,36.2186,0.0000,2016-18
